"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.460724167E-1,-1.296129710E-3,-7.243147027E-3,3.017397165E-2,3.105819854E-2
7.561254167E-1,-2.560087800E-2,-1.673125941E-3,1.251011789E-2,2.854307892E-2
7.661784167E-1,-8.946737875E-3,-4.935963638E-4,1.804918528E-2,2.015095147E-2
7.762314167E-1,-9.473422970E-3,1.888815109E-3,2.523424387E-2,2.702000054E-2
7.862844167E-1,-2.466785538E-4,-6.277168728E-4,3.062245309E-2,3.062987940E-2
7.963374167E-1,-8.601636235E-3,8.968167007E-5,1.984544992E-2,2.162956475E-2
8.063904166E-1,-5.376221861E-3,-2.832902893E-3,2.373618722E-2,2.450174859E-2
8.164424166E-1,-3.242949455E-3,-3.446915355E-3,2.658027291E-2,2.699831207E-2
8.264954166E-1,-1.896253292E-2,-9.212507531E-3,1.310711861E-2,2.482427256E-2
8.365484166E-1,7.159791085E-3,2.120163850E-3,1.594711125E-2,1.760874954E-2
8.466014166E-1,-3.061068786E-3,7.408257779E-3,1.774279118E-2,1.946943924E-2
8.566544167E-1,1.955959017E-3,1.123407271E-2,2.388119817E-2,2.646397157E-2
8.667074167E-1,1.076684392E-3,6.478879396E-3,2.298248112E-2,2.390250125E-2
8.767604167E-1,3.353045845E-3,-1.151457461E-2,3.151298404E-2,3.371789596E-2
8.868134167E-1,7.437723977E-4,-5.386327151E-3,2.013430238E-2,2.085559517E-2
8.968664167E-1,-2.172495146E-3,-1.726152878E-3,1.654060364E-2,1.677172942E-2
9.069194167E-1,1.814590445E-3,-4.014296271E-3,1.564071715E-2,1.624928755E-2
9.169724167E-1,-1.054551053E-2,-1.366280509E-2,1.968348205E-2,2.617860770E-2
9.270254166E-1,-6.495481720E-3,-9.775210675E-3,3.300577819E-2,3.503037854E-2
9.370784166E-1,-1.160071597E-2,-1.030372588E-2,1.594243348E-2,2.224645057E-2
9.471304166E-1,-1.352012846E-2,-5.135043059E-3,1.085418642E-2,1.808247504E-2
9.571834166E-1,4.568889829E-3,-4.503635131E-3,7.410761118E-3,9.801880636E-3
9.672364166E-1,-2.408725085E-3,-7.973847985E-3,1.369593322E-2,1.603005911E-2
9.772894167E-1,-6.961332360E-3,-1.035212986E-3,2.237670958E-2,2.345738574E-2
9.873424167E-1,8.108930087E-3,-3.383600973E-3,2.417005062E-2,2.571759806E-2
9.973954167E-1,-7.506967801E-3,8.238288313E-3,8.151603341E-3,1.380842485E-2
1.007448417E0,-2.643430837E-3,3.008045275E-3,4.931366265E-2,4.947598798E-2
1.017501417E0,2.123135852E-3,1.261235280E-2,2.536054373E-2,2.840310418E-2
1.027554417E0,5.258355355E-3,1.524168123E-3,7.542908192E-3,9.320346211E-3
1.037607417E0,-3.918577522E-3,6.979784779E-3,3.717776656E-2,3.802971170E-2
1.047660417E0,5.347227323E-3,2.773718107E-3,3.448161542E-2,3.500383057E-2
1.057713417E0,6.421063909E-3,-6.816062741E-3,1.516943157E-2,1.782695788E-2
1.067766417E0,-1.591488532E-2,-4.718173128E-3,2.489685953E-2,2.992320750E-2
1.077819417E0,-2.136331630E-2,-1.151832048E-2,1.456658363E-2,2.830633054E-2
1.087871417E0,-5.472436538E-3,-1.179419942E-3,2.669137001E-2,2.727210711E-2
1.097924417E0,-1.357056526E-3,-4.672820661E-3,1.336731970E-2,1.422540303E-2
1.107977417E0,-3.499012676E-3,-1.412868200E-2,3.671700597E-2,3.949685142E-2
1.118030417E0,1.404466596E-2,-1.036552364E-2,4.614447176E-2,4.933567671E-2
1.128083417E0,1.208145074E-2,-6.623908617E-3,2.039567292E-2,2.461343314E-2
1.138136417E0,9.448914914E-3,9.499240369E-3,1.231072783E-2,1.819537250E-2
1.148189417E0,-1.001197723E-2,-7.314282060E-3,9.764850140E-3,1.578260778E-2
1.158242417E0,-2.209276787E-3,-7.562441546E-3,4.254551053E-2,4.326883281E-2
1.168295417E0,5.792766312E-4,1.361284794E-2,1.664877713E-2,2.151341373E-2
