"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.725915701114070E9,"2024-09-09 23:01:41.114 UTC+02:00"
"PAUSE",1.001205995830242E1,1.725915711126084E9,"2024-09-09 23:01:51.126 UTC+02:00"
