"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.725915477869734E9,"2024-09-09 22:57:57.870 UTC+02:00"
"PAUSE",1.001175687497016E1,1.725915487881444E9,"2024-09-09 22:58:07.881 UTC+02:00"
