"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.881250396E-4,2.769241333E-2,9.803413696E0,2.694396973E-3
1.091312501E-2,3.158432007E-2,9.794432373E0,2.424957275E-2
2.093712502E-2,2.514770508E-2,9.799521790E0,5.987548828E-2
3.096112498E-2,2.814147949E-2,9.804012451E0,4.969665527E-2
4.098512500E-2,3.622467041E-2,9.799222412E0,3.981719971E-2
5.101012503E-2,3.023712158E-2,9.796378326E0,2.619552612E-2
6.103412498E-2,1.571731567E-2,9.794432373E0,-2.993774414E-3
7.105812500E-2,3.622467041E-2,9.802216187E0,-3.128494263E-2
8.108312503E-2,3.502716064E-2,9.810149689E0,-2.499801636E-2
9.110712499E-2,2.888992310E-2,9.815987549E0,-8.532257080E-3
1.011311250E-1,2.245330811E-2,9.801467743E0,8.981323242E-3
1.111551250E-1,2.484832764E-2,9.796528015E0,3.008743286E-2
1.211801250E-1,1.377136230E-2,9.808203735E0,4.550537109E-2
1.312042917E-1,2.170486450E-2,9.790091400E0,5.822891235E-2
1.412282917E-1,2.769241333E-2,9.798473969E0,4.296066284E-2
1.512522917E-1,3.697311401E-2,9.804611206E0,2.095642090E-2
1.612772917E-1,2.664459229E-2,9.801318054E0,-1.137634277E-2
1.713012917E-1,3.532653809E-2,9.817334747E0,-1.796264648E-3
1.813252917E-1,3.936813354E-2,9.806257782E0,-1.706451416E-2
1.913492917E-1,3.622467041E-2,9.800719299E0,-2.110610962E-2
2.013742917E-1,2.155517578E-2,9.812395020E0,-9.879455566E-3
2.113982917E-1,1.975891113E-2,9.812844086E0,8.382568359E-3
2.214222917E-1,2.035766602E-2,9.792935486E0,3.008743286E-2
2.314472917E-1,2.424957275E-2,9.804461517E0,3.727249146E-2
2.414712917E-1,1.661544800E-2,9.799072723E0,3.592529297E-2
2.514952917E-1,2.469863892E-2,9.811796265E0,2.903961182E-2
2.615192917E-1,3.772155762E-2,9.807455292E0,6.735992432E-3
2.715442917E-1,4.056564331E-2,9.812694397E0,-1.451980591E-2
2.815682917E-1,2.918930054E-2,9.807006226E0,-3.158432007E-2
2.915922917E-1,2.649490356E-2,9.794432373E0,-1.451980591E-2
3.016162917E-1,3.263214111E-2,9.815388794E0,-1.197509766E-3
3.116412917E-1,3.772155762E-2,9.805659027E0,1.990859985E-2
3.216652917E-1,3.203338623E-2,9.795629883E0,1.916015625E-2
3.316892917E-1,2.155517578E-2,9.816586304E0,3.367996216E-2
3.417132917E-1,2.005828857E-2,9.808503113E0,3.847000122E-2
3.517382917E-1,3.128494263E-2,9.791288910E0,1.960922241E-2
3.617622917E-1,2.469863892E-2,9.816436615E0,1.781295776E-2
3.717862917E-1,2.814147949E-2,9.811496887E0,6.885681152E-3
3.818112917E-1,1.856140137E-2,9.804760895E0,4.191284180E-3
3.918352917E-1,3.817062378E-2,9.812245331E0,2.395019531E-3
4.018592917E-1,3.068618774E-2,9.793234863E0,1.047821045E-2
4.118832917E-1,2.649490356E-2,9.800419922E0,5.688171387E-3
4.219082917E-1,2.110610962E-2,9.807754669E0,1.152603149E-2
4.319322917E-1,3.083587646E-2,9.817035370E0,1.841171265E-2
4.419562917E-1,1.796264648E-2,9.805509338E0,1.122665405E-2
4.519802917E-1,3.547622681E-2,9.803264008E0,1.302291870E-2
4.620052917E-1,3.113525391E-2,9.806557159E0,1.661544800E-2
4.720292917E-1,2.499801636E-2,9.810149689E0,1.137634277E-2
4.820532917E-1,2.918930054E-2,9.806108093E0,1.646575928E-2
4.920772917E-1,3.652404785E-2,9.799222412E0,3.891906738E-3
5.021022917E-1,2.694396973E-2,9.809850311E0,-5.987548828E-3
5.121262917E-1,3.487747192E-2,9.806557159E0,6.436614990E-3
5.221502917E-1,2.784210205E-2,9.790690155E0,-2.245330811E-3
5.321752917E-1,3.906875610E-2,9.807455292E0,2.245330811E-3
5.421992917E-1,2.888992310E-2,9.815987549E0,2.275268555E-2
5.522232917E-1,2.350112915E-2,9.810449066E0,1.272354126E-2
5.622472917E-1,2.709365845E-2,9.803862762E0,1.646575928E-2
5.722722917E-1,2.694396973E-2,9.806257782E0,2.050735474E-2
5.822962917E-1,2.559677124E-2,9.796977081E0,1.676513672E-2
5.923202917E-1,2.230361938E-2,9.805359650E0,3.682342529E-2
6.023442917E-1,3.278182983E-2,9.804311829E0,9.729766846E-3
6.123692917E-1,2.050735474E-2,9.810898132E0,-1.212478638E-2
6.223932917E-1,2.634521484E-2,9.809550934E0,-6.137237549E-3
6.324172917E-1,2.350112915E-2,9.809700623E0,2.993774414E-4
6.424412917E-1,3.128494263E-2,9.803413696E0,1.152603149E-2
6.524662917E-1,4.550537109E-2,9.804012451E0,5.613327026E-2
6.624902917E-1,4.236190796E-2,9.808652802E0,5.014572144E-2
6.725142917E-1,2.903961182E-2,9.805209961E0,3.008743286E-2
6.825382917E-1,2.963836670E-2,9.809850311E0,1.167572021E-2
6.925632917E-1,2.065704346E-2,9.804910583E0,-4.191284180E-3
7.025872917E-1,3.517684937E-2,9.812844086E0,6.586303711E-3
7.126112917E-1,3.652404785E-2,9.802964630E0,1.796264648E-2
7.226362917E-1,2.709365845E-2,9.798024902E0,1.377136230E-2
7.326602917E-1,2.335144043E-2,9.795180817E0,4.790039062E-3
7.426842917E-1,4.101470947E-2,9.806706848E0,1.107696533E-2
7.527082917E-1,2.484832764E-2,9.803563385E0,-7.634124756E-3
7.627332917E-1,2.350112915E-2,9.810898132E0,-1.496887207E-3
7.727572917E-1,1.571731567E-2,9.819729767E0,4.490661621E-3
7.827812917E-1,3.203338623E-2,9.795629883E0,2.829116821E-2
7.928052917E-1,1.960922241E-2,9.806706848E0,2.424957275E-2
8.028302917E-1,3.442840576E-2,9.811496887E0,1.032852173E-2
8.128542917E-1,3.457809448E-2,9.803713074E0,1.362167358E-2
8.228782917E-1,1.975891113E-2,9.806108093E0,1.676513672E-2
8.329022917E-1,1.766326904E-2,9.800719299E0,1.796264648E-2
8.429272917E-1,2.874023438E-2,9.803862762E0,1.062789917E-2
8.529512917E-1,3.008743286E-2,9.820627899E0,2.245330811E-3
8.629752917E-1,3.098556519E-2,9.804461517E0,1.077758789E-2
8.729992917E-1,3.832031250E-2,9.800719299E0,1.272354126E-2
8.830242917E-1,3.981719971E-2,9.813143463E0,3.263214111E-2
8.930482917E-1,2.395019531E-2,9.810748444E0,2.155517578E-2
9.030722917E-1,2.350112915E-2,9.801767120E0,1.796264648E-2
9.130962917E-1,1.242416382E-2,9.816286926E0,2.230361938E-2
9.231212917E-1,2.918930054E-2,9.802216187E0,2.245330811E-3
9.331452917E-1,2.933898926E-2,9.804760895E0,1.916015625E-2
9.431692917E-1,2.724334717E-2,9.802814941E0,2.020797729E-2
9.531942917E-1,3.981719971E-2,9.819580078E0,1.616638184E-2
9.632182917E-1,3.248245239E-2,9.796078949E0,2.754272461E-2
9.732422917E-1,3.293151855E-2,9.797426147E0,9.131011963E-3
9.832662917E-1,3.083587646E-2,9.799970856E0,-5.688171387E-3
9.932912917E-1,1.960922241E-2,9.797575836E0,-5.538482666E-3
1.003315292E0,2.335144043E-2,9.799072723E0,-1.137634277E-2
1.013339292E0,1.676513672E-2,9.820328522E0,1.272354126E-2
1.023363292E0,2.185455322E-2,9.802365875E0,2.185455322E-2
1.033388292E0,3.382965088E-2,9.801318054E0,3.158432007E-2
1.043412292E0,2.574645996E-2,9.822573853E0,3.517684937E-2
1.053436292E0,2.439926147E-2,9.808353424E0,7.035369873E-3
1.063460292E0,3.532653809E-2,9.804461517E0,4.490661621E-3
1.073485292E0,3.562591553E-2,9.800419922E0,-3.293151855E-3
1.083509292E0,3.442840576E-2,9.796378326E0,-1.407073975E-2
1.093533292E0,2.439926147E-2,9.812095642E0,8.981323242E-3
1.103557292E0,3.008743286E-2,9.815688171E0,1.796264648E-3
1.113582292E0,4.490661621E-2,9.806557159E0,2.035766602E-2
1.123606292E0,3.847000122E-2,9.811347198E0,2.559677124E-2
1.133629625E0,2.604583740E-2,9.813592529E0,1.422042847E-2
1.143653625E0,1.781295776E-2,9.796078949E0,7.035369873E-3
1.153678625E0,2.215393066E-2,9.808353424E0,1.901046753E-2
1.163702625E0,3.023712158E-2,9.804461517E0,1.212478638E-2
1.173726625E0,3.008743286E-2,9.799671478E0,1.287322998E-2
1.183750625E0,4.131408691E-2,9.785451050E0,1.212478638E-2
1.193775625E0,3.742218018E-2,9.796228638E0,1.691482544E-2
1.203799625E0,2.215393066E-2,9.811047821E0,2.260299683E-2
1.213823625E0,3.353027344E-2,9.811047821E0,2.544708252E-3
1.223848625E0,2.380050659E-2,9.804311829E0,-2.424957275E-2
1.233872625E0,1.556762695E-2,9.790989532E0,-1.631607056E-2
1.243896625E0,2.993774414E-2,9.799521790E0,-5.987548828E-3
1.253920625E0,3.697311401E-2,9.796677704E0,2.110610962E-2
1.263945625E0,2.963836670E-2,9.805659027E0,4.011657715E-2
1.273969625E0,2.814147949E-2,9.808652802E0,3.607498169E-2
1.283993625E0,2.305206299E-2,9.805808716E0,2.559677124E-2
1.294017625E0,3.008743286E-2,9.798324280E0,4.490661621E-4
1.304042625E0,2.499801636E-2,9.794582062E0,-9.729766846E-3
1.314066625E0,2.454895020E-2,9.804012451E0,4.041595459E-3
1.324090625E0,2.963836670E-2,9.797126770E0,-5.987548828E-4
1.334114625E0,2.424957275E-2,9.796528015E0,-5.388793945E-3
1.344139625E0,3.817062378E-2,9.804611206E0,-8.083190918E-3
1.354163625E0,4.011657715E-2,9.801168365E0,1.691482544E-2
1.364187625E0,4.206253052E-2,9.793534241E0,3.682342529E-2
1.374211625E0,1.302291870E-2,9.808353424E0,3.098556519E-2
1.384236625E0,1.167572021E-2,9.806706848E0,2.185455322E-2
1.394260625E0,2.454895020E-2,9.802216187E0,1.676513672E-2
1.404284625E0,2.484832764E-2,9.797575836E0,-4.790039062E-3
1.414308625E0,3.083587646E-2,9.790989532E0,4.490661621E-3
1.424333625E0,3.936813354E-2,9.794731750E0,8.083190918E-3
1.434357625E0,3.652404785E-2,9.809850311E0,1.526824951E-2
1.444381625E0,2.020797729E-2,9.810598755E0,2.170486450E-2
