"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.804874977E-3,-4.843316078E-1,4.408730030E0,1.310052633E0
1.183087501E-2,-2.610862255E-1,4.702311039E0,9.437449574E-1
2.185687498E-2,-3.602330014E-2,4.797246456E0,7.133653164E-1
3.188287502E-2,2.262274325E-1,4.716950893E0,6.222252846E-1
4.190887499E-2,6.526016593E-1,4.278539181E0,6.536327600E-1
5.193387502E-2,1.158486247E0,3.543533564E0,7.295212746E-1
6.195987499E-2,1.764069080E0,2.459988832E0,7.835949063E-1
7.198587502E-2,2.312072754E0,1.099110961E0,7.190131545E-1
8.201187500E-2,2.719851732E0,-2.967354059E-1,5.511602163E-1
9.203787497E-2,2.964098930E0,-1.452826262E0,2.808620334E-1
1.020638750E-1,3.009197474E0,-2.081202507E0,-1.357431710E-1
1.120888750E-1,2.954165220E0,-2.416946888E0,-4.958865941E-1
1.221148750E-1,2.777541161E0,-2.658823013E0,-6.521912813E-1
1.321408750E-1,2.448445082E0,-2.690737486E0,-6.306106448E-1
1.421668750E-1,2.018027306E0,-2.496213913E0,-4.916737378E-1
1.521928750E-1,1.570884585E0,-2.152791262E0,-2.579837739E-1
1.622188750E-1,1.092538238E0,-1.855610251E0,2.303513698E-2
1.722438750E-1,5.880796313E-1,-1.957854033E0,3.007673621E-1
1.822698750E-1,1.212070137E-1,-2.497258425E0,4.219917655E-1
1.922958750E-1,-3.947147429E-1,-3.081118584E0,3.576719165E-1
2.023218750E-1,-1.577773094E-1,-3.391507149E0,1.263132691E-1
2.123477500E-1,6.471670270E-1,-3.365612984E0,-2.978674769E-1
2.223737500E-1,1.221732259E0,-1.954898596E0,-8.146452904E-1
2.323987500E-1,1.387629151E0,-2.667791247E-1,-1.016642928E0
2.424247500E-1,1.042044878E0,2.503857017E-1,-1.089427590E0
2.524507500E-1,5.784496665E-1,-1.027771011E-1,-1.927784443E0
2.624767500E-1,3.722230196E-1,-8.801706880E-2,-3.368533373E0
2.725027500E-1,-1.564434171E-1,-8.905341029E-1,-3.340316772E0
2.825277500E-1,-4.255864620E-1,-2.894980013E-1,-2.010180235E0
2.925537500E-1,-1.491412967E-1,1.820633709E-1,-6.782449484E-1
3.025797500E-1,4.522928596E-1,-2.293203324E-1,1.490531713E-1
3.126057500E-1,1.050440311E0,-8.450936079E-1,3.103846610E-1
3.226317500E-1,1.591279626E0,-9.821825027E-1,-1.114224941E-1
3.326577500E-1,2.019302368E0,-8.762651682E-1,-8.113067150E-1
3.426827500E-1,2.251290321E0,-6.380688548E-1,-1.464915991E0
3.527087500E-1,2.407118082E0,2.246095240E-2,-1.986773372E0
3.627347500E-1,2.822072029E0,1.392105460E0,-2.599565268E0
3.727607500E-1,3.301762819E0,2.164000988E0,-3.016602516E0
3.827867500E-1,3.553471565E0,1.228985906E0,-2.757823706E0
3.928127500E-1,3.603714943E0,-2.225737721E-1,-1.858193398E0
4.028377500E-1,3.390502691E0,-5.554127097E-1,-1.048943400E0
4.128637500E-1,2.836542368E0,-2.610380650E-1,-7.287103534E-1
4.228897500E-1,2.251269817E0,-1.922483295E-1,-8.317003846E-1
4.329157500E-1,1.836066246E0,-4.690048993E-1,-9.191731811E-1
4.429417500E-1,1.575354695E0,-3.898386955E-1,-5.974026322E-1
4.529677500E-1,1.204574347E0,8.859597892E-2,-2.137919962E-1
4.629927500E-1,7.130565643E-1,3.519618213E-1,-2.070273012E-1
4.730187500E-1,1.830106378E-1,-3.619808704E-2,-2.990425229E-1
4.830447500E-1,-3.681688905E-1,-7.515785694E-1,-4.624812305E-1
4.930707500E-1,-7.287403345E-1,-1.266906977E0,-7.693052292E-1
5.030967500E-1,-9.030570388E-1,-9.820396304E-1,-1.011361957E0
5.131217500E-1,-1.263586044E0,-2.525171340E-1,-9.660620689E-1
5.231477500E-1,-1.864624262E0,6.543049216E-1,-7.463787198E-1
5.331737500E-1,-2.214368343E0,1.708804727E0,-5.775090456E-1
5.431997500E-1,-2.185243130E0,2.960536242E0,-5.098658204E-1
5.532257500E-1,-2.113263845E0,3.887547493E0,-3.885835111E-1
5.632517500E-1,-2.431814671E0,3.706310987E0,1.813684218E-2
5.732767500E-1,-2.886027575E0,2.671500921E0,5.282904506E-1
5.833027500E-1,-3.001233578E0,1.674230456E0,7.131958604E-1
5.933287500E-1,-3.055756569E0,8.424361944E-1,6.490772367E-1
6.033547500E-1,-3.289229393E0,2.773498595E-1,3.851452470E-1
6.133807500E-1,-3.456078291E0,-8.670057356E-2,2.777325213E-1
6.234057500E-1,-3.448144674E0,-3.465390801E-1,4.408324957E-1
6.334317500E-1,-3.499368191E0,-1.390776932E-1,7.154895663E-1
6.434577500E-1,-3.630323648E0,7.568685412E-1,1.156774759E0
6.534837500E-1,-3.839344501E0,1.931324363E0,1.795325756E0
6.635097500E-1,-3.767693758E0,2.174993992E0,2.422097445E0
6.735357500E-1,-3.265038252E0,6.073834300E-1,2.660944223E0
6.835607500E-1,-2.699490547E0,-1.674088717E0,2.632353544E0
6.935867500E-1,-2.074424505E0,-3.155499935E0,2.497038126E0
7.036127500E-1,-1.908783555E0,-3.533909559E0,2.650716782E0
7.136387500E-1,-2.211082697E0,-2.592235565E0,3.153467894E0
7.236647500E-1,-2.453465462E0,-7.921304107E-1,3.272587776E0
7.336897500E-1,-2.383124590E0,9.136410356E-1,2.870045424E0
7.437157500E-1,-2.027965784E0,2.158102989E0,2.383401155E0
7.537417500E-1,-1.585278273E0,2.523233652E0,2.001596451E0
7.637677500E-1,-1.251815677E0,2.956410170E0,1.650111914E0
7.737937500E-1,-1.037563562E0,3.963534117E0,1.382408023E0
7.838197500E-1,-8.194078207E-1,5.057104111E0,1.332509637E0
7.938447500E-1,-5.289038420E-1,5.755598545E0,1.371795893E0
8.038707500E-1,-1.589785069E-1,5.892994404E0,1.392532349E0
8.138967500E-1,1.470968574E-1,5.540501595E0,1.277778625E0
8.239227500E-1,2.958455980E-1,4.460800171E0,9.938813448E-1
8.339487500E-1,7.955893874E-1,2.532848358E0,8.970908523E-1
8.439737500E-1,1.534991026E0,4.465620220E-1,9.220859408E-1
8.539997500E-1,2.238399029E0,-1.376312137E0,9.053525329E-1
8.640257500E-1,2.736812830E0,-2.608412743E0,8.710148335E-1
8.740517500E-1,3.089725018E0,-3.442058086E0,9.096125960E-1
8.840777500E-1,3.228750944E0,-3.977162600E0,9.491405487E-1
8.941037500E-1,3.212512493E0,-4.201778889E0,1.012572169E0
9.041287500E-1,3.041348219E0,-4.043268204E0,9.902578592E-1
9.141547500E-1,2.798423529E0,-3.414542913E0,7.145576477E-1
9.241807500E-1,2.302554131E0,-2.301526070E0,1.632609367E-1
9.342067500E-1,1.376121283E0,-8.296716213E-1,-5.692709684E-1
9.442327500E-1,4.396475554E-1,2.740565836E-1,-1.022880316E0
9.542577500E-1,-3.178521395E-1,5.019502044E-1,-1.221929431E0
9.642837500E-1,-6.564600468E-1,-7.179774344E-2,-1.241850376E0
9.743097500E-1,-5.450701118E-1,-1.083384991E0,-1.139857054E0
9.843357500E-1,-9.200221300E-2,-2.299613237E0,-7.802906036E-1
9.943617500E-1,-1.787133631E-3,-2.090762377E0,-7.998965383E-1
1.004386750E0,-6.852906346E-1,2.534912713E-2,-1.188976169E0
1.014412750E0,-1.264172316E0,1.940852284E0,-1.513627887E0
1.024438750E0,-1.607534409E0,1.362702131E0,-2.158193827E0
1.034464750E0,-1.568736196E0,-5.794575810E-2,-2.816887856E0
1.044490750E0,-2.323223650E-2,-9.712323546E-1,-2.418968916E0
1.054515750E0,2.861746311E0,-1.533407807E0,-1.012515664E0
1.064541750E0,2.812340975E0,-1.614160657E0,8.291948587E-2
1.074567750E0,1.708014250E0,-1.847412229E0,6.865283251E-1
1.084593750E0,1.008038044E0,-2.009121418E0,6.764256358E-1
1.094619750E0,1.196800232E0,-1.572393894E0,3.325295821E-2
1.104645750E0,2.338917017E0,1.207405254E-1,-1.141571045E0
1.114670750E0,3.500413179E0,1.749878883E0,-2.549228430E0
1.124696750E0,4.091610909E0,2.358911753E0,-3.639001608E0
1.134722750E0,4.397192001E0,2.821959734E0,-4.005183697E0
1.144748750E0,4.990741730E0,3.439028502E0,-3.711133957E0
1.154774750E0,5.068154335E0,2.763983965E0,-2.658557653E0
1.164799750E0,3.947031498E0,4.877216816E-1,-1.171436667E0
1.174825750E0,2.768450499E0,-1.958188772E0,-4.095248282E-1
1.184851750E0,2.163484335E0,-3.340501070E0,-4.575876892E-1
1.194877750E0,1.929992676E0,-3.170996189E0,-6.738714576E-1
1.204903750E0,1.460619569E0,-1.732984900E0,-5.754500628E-1
1.214928667E0,7.045265436E-1,-1.352424771E-1,-4.731317163E-1
1.224954667E0,1.111971736E-1,5.369936824E-1,-5.457151532E-1
1.234980667E0,-6.484014541E-2,4.183580279E-1,-8.799453974E-1
1.245006667E0,2.504421026E-2,-1.191762760E-1,-1.304183602E0
1.255032667E0,-4.387250543E-2,-3.086366653E-1,-1.421001077E0
1.265057667E0,-3.563595712E-1,-9.372250736E-2,-1.267604589E0
1.275083667E0,-8.211093545E-1,-3.490797058E-2,-1.102940798E0
1.285109667E0,-1.363393903E0,4.638954997E-2,-9.274029732E-1
1.295135667E0,-1.937236547E0,5.790534019E-1,-5.851065516E-1
1.305161667E0,-2.216872931E0,1.821815848E0,-2.219086140E-1
1.315187667E0,-2.340418816E0,2.936478138E0,1.407163739E-1
1.325212667E0,-2.645651817E0,3.047491550E0,3.944922090E-1
1.335238667E0,-2.988466501E0,2.518112898E0,2.186198086E-1
1.345264667E0,-3.252492666E0,1.877267599E0,-9.714506567E-2
1.355290667E0,-3.190630674E0,1.247768998E0,-4.623613954E-1
1.365316667E0,-3.023022413E0,6.532676220E-1,-7.388968468E-1
1.375341667E0,-3.299254656E0,8.030494452E-1,-7.055259347E-1
1.385367667E0,-3.807340384E0,1.462104321E0,-4.243366122E-1
1.395393667E0,-4.177778721E0,2.240239620E0,1.281290054E-1
1.405419667E0,-3.832827568E0,2.996536970E0,9.982276559E-1
1.415445667E0,-3.413100004E0,2.854187965E0,1.970941663E0
1.425470667E0,-3.286611319E0,1.658743501E0,2.623162746E0
