"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.247041666E-3,1.377136230E-2,9.000932465E0,3.730991364E0
1.127104167E-2,4.490661621E-3,9.023385773E0,3.728895721E0
2.129404167E-2,-1.122665405E-2,9.032816162E0,3.751498718E0
3.131804167E-2,2.469863892E-2,9.018146667E0,3.792663116E0
4.134204167E-2,6.451583862E-2,9.011410675E0,3.836970978E0
5.136604167E-2,1.193019104E-1,8.996741180E0,3.870650940E0
6.139004167E-2,1.541793823E-1,9.010961609E0,3.910168762E0
7.141304167E-2,1.995350647E-1,9.025930481E0,3.918251953E0
8.143704167E-2,2.133064270E-1,9.025930481E0,3.904031525E0
9.146104167E-2,1.981878662E-1,9.008267212E0,3.886218567E0
1.014850417E-1,1.728904724E-1,9.025032349E0,3.873345337E0
1.115090417E-1,1.425036621E-1,9.014254761E0,3.862118683E0
1.215320417E-1,1.190025330E-1,9.023834839E0,3.871399384E0
1.315560417E-1,1.083746338E-1,9.015601959E0,3.875440979E0
1.415800417E-1,1.210981750E-1,9.012907562E0,3.878883820E0
1.516040417E-1,1.405577087E-1,9.008865967E0,3.887116699E0
1.616280417E-1,1.534309387E-1,9.009764099E0,3.898193665E0
1.716510417E-1,1.788780212E-1,9.013057251E0,3.899989929E0
1.816750417E-1,1.808239746E-1,9.022188263E0,3.859424286E0
1.916990417E-1,1.857637024E-1,9.006470947E0,3.809727631E0
2.017230417E-1,1.984872437E-1,9.000333710E0,3.755091248E0
2.117470417E-1,2.071691895E-1,9.021140442E0,3.759282532E0
2.217700417E-1,2.311193848E-1,9.030421143E0,3.741170197E0
2.317940417E-1,2.492317200E-1,9.016949158E0,3.733985138E0
2.418180417E-1,2.680924988E-1,9.011111298E0,3.763024750E0
2.518420417E-1,2.881507874E-1,9.006620636E0,3.792663116E0
2.618650417E-1,3.022215271E-1,9.048982544E0,3.866309967E0
2.718890417E-1,2.733316040E-1,9.035360870E0,3.917353821E0
2.819130417E-1,2.291734314E-1,9.015901337E0,3.925586700E0
2.919370417E-1,1.622625732E-1,9.016799469E0,3.944297791E0
3.019610417E-1,8.427474976E-2,9.017996979E0,3.928430786E0
3.119840417E-1,1.257385254E-2,9.020691376E0,3.883374481E0
3.220080417E-1,-3.682342529E-2,9.030570831E0,3.859274597E0
3.320320417E-1,-3.338058472E-2,9.012009430E0,3.838767242E0
3.420560417E-1,2.544708252E-3,9.000333710E0,3.831282806E0
