"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-2.722083336E-4,-3.964809701E-2,1.723622978E-1,-2.797665298E-1
9.750791669E-3,-3.428155929E-2,1.456942260E-1,-2.422092855E-1
1.977479167E-2,-4.439873993E-2,9.594502300E-2,-2.086029351E-1
2.979779167E-2,-6.214870885E-2,3.724229336E-2,-1.916947961E-1
3.982079167E-2,-7.466267794E-2,-3.440572694E-2,-1.915126890E-1
4.984479167E-2,-7.484803349E-2,-1.085995287E-1,-2.056207806E-1
5.986779167E-2,-7.313022763E-2,-1.665773690E-1,-2.222585678E-1
6.989079167E-2,-6.882283092E-2,-2.325462699E-1,-2.431215048E-1
7.991479167E-2,-6.307246536E-2,-3.116627038E-1,-2.461140156E-1
8.993779167E-2,-5.169703439E-2,-3.462108076E-1,-2.614825964E-1
9.996179167E-2,-6.057051942E-2,-3.323006034E-1,-3.075026274E-1
1.099847917E-1,-1.049369127E-1,-3.051880300E-1,-3.537433743E-1
1.200077917E-1,-1.605332345E-1,-2.781811655E-1,-3.836710751E-1
1.300317917E-1,-2.042199969E-1,-2.774434686E-1,-3.776821792E-1
1.400547917E-1,-1.989155859E-1,-3.296948969E-1,-3.417926431E-1
1.500777917E-1,-1.436387599E-1,-4.114134610E-1,-3.046548665E-1
1.601017917E-1,-9.271270037E-2,-5.130448937E-1,-2.835905850E-1
1.701247917E-1,-1.053414121E-1,-5.946252346E-1,-2.812763155E-1
1.801477917E-1,-1.683714390E-1,-6.206954718E-1,-2.817063630E-1
1.901717917E-1,-2.335312665E-1,-5.821070671E-1,-2.829242349E-1
2.001947917E-1,-2.753071487E-1,-5.069743395E-1,-2.824937999E-1
2.102177917E-1,-2.895691991E-1,-4.485490918E-1,-2.779573798E-1
2.202417917E-1,-3.106862307E-1,-4.293387830E-1,-2.672549486E-1
2.302647917E-1,-3.403410614E-1,-4.256854653E-1,-2.547093332E-1
2.402877917E-1,-3.750331104E-1,-4.362268448E-1,-2.330065519E-1
2.503117917E-1,-4.003123641E-1,-4.526045024E-1,-2.020148188E-1
2.603347917E-1,-4.150497317E-1,-4.702374041E-1,-1.672009081E-1
2.703577917E-1,-4.320127368E-1,-4.919882417E-1,-1.331207007E-1
2.803817917E-1,-4.622090161E-1,-5.206461549E-1,-1.043910533E-1
2.904047917E-1,-5.279675126E-1,-5.580191016E-1,-9.437011182E-2
3.004277917E-1,-6.639242768E-1,-6.239356995E-1,-9.893978387E-2
3.104517917E-1,-8.653359413E-1,-7.207496166E-1,-1.036184281E-1
3.204747917E-1,-1.111960530E0,-8.135226369E-1,-1.094938517E-1
3.304977917E-1,-1.373764515E0,-8.341751695E-1,-1.361933649E-1
3.405217917E-1,-1.621423721E0,-7.663965821E-1,-1.975127906E-1
3.505447917E-1,-1.788889050E0,-5.543575287E-1,-2.695643306E-1
3.605687917E-1,-1.866303444E0,-1.639061868E-1,-3.193702400E-1
3.705917917E-1,-1.888608456E0,3.225217760E-1,-2.764214575E-1
3.806147917E-1,-1.851305366E0,6.283158064E-1,-1.617009491E-1
3.906387917E-1,-1.759020090E0,4.892242849E-1,-1.215202436E-1
4.006617917E-1,-1.599640965E0,-1.441430114E-2,-1.222338304E-1
4.106847917E-1,-1.400441051E0,-6.469265223E-1,-1.395307928E-1
4.207087917E-1,-1.181682944E0,-1.187772512E0,-1.268245876E-1
4.307317917E-1,-9.359360337E-1,-1.472232819E0,-8.292983472E-2
4.407547917E-1,-6.506900191E-1,-1.483533263E0,4.259058041E-4
4.507794167E-1,-3.721747696E-1,-1.232158780E0,9.776231647E-2
4.608024167E-1,-2.100851983E-1,-9.045476317E-1,1.599707752E-1
4.708254167E-1,-1.086366102E-1,-5.266051292E-1,1.817857921E-1
4.808494167E-1,-3.872421756E-2,-2.010080367E-1,2.394285053E-1
4.908724167E-1,8.125305176E-2,1.254792660E-1,3.610209823E-1
5.008954167E-1,2.036789507E-1,3.292495906E-1,5.198450685E-1
5.109194167E-1,2.734764218E-1,3.549608290E-1,7.477408051E-1
5.209424167E-1,2.966844440E-1,3.492748439E-1,9.866057634E-1
5.309654167E-1,2.660692632E-1,3.490162492E-1,1.200662136E0
5.409894167E-1,1.804232001E-1,3.472770154E-1,1.317886353E0
5.510124167E-1,3.720931336E-2,3.092683852E-1,1.338134646E0
5.610354167E-1,-1.289912313E-1,1.514030546E-1,1.313464046E0
5.710594167E-1,-3.330202699E-1,8.169320971E-2,1.256317973E0
5.810824167E-1,-5.727738142E-1,3.592346981E-2,1.183352590E0
5.911054167E-1,-7.828751206E-1,-1.323155686E-2,1.115007043E0
6.011294167E-1,-1.005103946E0,-1.278814673E-1,1.023268461E0
6.111524167E-1,-1.349377990E0,-1.715410650E-1,9.818953872E-1
6.211764167E-1,-1.904954314E0,-1.560595334E-1,9.765160084E-1
6.311994167E-1,-2.696404219E0,7.201145589E-2,9.594656825E-1
6.412224167E-1,-3.300203800E0,6.714874506E-1,9.378967881E-1
6.512464167E-1,-2.854675531E0,1.306130886E0,8.477022052E-1
6.612694167E-1,-1.789260507E0,1.771890998E0,6.966252923E-1
6.712924167E-1,-9.290770888E-1,2.056058168E0,6.790673137E-1
6.813164167E-1,-5.145211816E-1,2.182365417E0,7.514001131E-1
6.913394167E-1,-4.103556275E-1,1.482517481E0,5.500286222E-1
7.013624167E-1,-6.302906275E-1,-6.097597480E-1,1.364045143E-1
7.113864167E-1,-5.032805204E-1,-3.024765730E0,-3.148351312E-1
7.214094167E-1,-3.056517430E-2,-4.120979786E0,-9.326178432E-1
7.314324167E-1,3.984120190E-1,-3.119835138E0,-1.554440498E0
7.414564167E-1,8.114066720E-2,-1.082081676E0,-1.567022204E0
