"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.358374997E-3,-1.559606781E0,8.606203308E0,4.146377563E-1
6.665625002E-3,-1.538500671E0,8.484955444E0,-2.035766602E-2
1.668962500E-2,-1.422940979E0,8.155939636E0,-5.701643372E-1
2.671262500E-2,-1.114881592E0,7.618407440E0,-7.102729797E-1
3.673662500E-2,-6.256988525E-1,7.048692169E0,-3.559597778E-1
4.675962500E-2,1.167572021E-1,6.630312195E0,1.790277100E-1
5.678362500E-2,6.150709534E-1,6.048172760E0,1.039588165E0
6.680662500E-2,5.987548828E-1,5.714067535E0,1.549577637E0
7.683062500E-2,1.924996948E-1,5.398523712E0,1.363963623E0
8.685462500E-2,-4.490661621E-1,5.070406036E0,5.137316895E-1
9.687762500E-2,-9.020242310E-1,4.967719574E0,-1.832189941E-1
1.069016250E-1,-1.712588654E0,4.842879181E0,-2.874023438E-1
1.169246250E-1,-2.017354889E0,4.812342682E0,-5.728587341E-1
1.269486250E-1,-1.936522980E0,4.855003967E0,-6.637197876E-1
1.369726250E-1,-1.682052155E0,4.912334747E0,-3.568579102E-1
1.469956250E-1,-1.751058655E0,5.012476501E0,6.783892822E-1
1.570196250E-1,-1.939217377E0,5.097050629E0,2.276316376E0
1.670426250E-1,-1.939217377E0,5.451064453E0,3.586691437E0
1.770666250E-1,-1.913171539E0,6.103108521E0,4.560566254E0
1.870896250E-1,-1.725312195E0,7.043453064E0,5.202880554E0
1.971136250E-1,-1.027164001E0,8.158035278E0,5.856720886E0
2.071376250E-1,5.523513794E-2,9.095535736E0,6.577172699E0
2.171606250E-1,1.172511749E0,1.002345612E1,7.090305634E0
2.271846250E-1,1.963167572E0,1.142199783E1,7.562423859E0
2.372076250E-1,2.964585114E0,1.366762802E1,7.898025970E0
2.472316250E-1,4.402494965E0,1.634032013E1,6.939569092E0
2.572546250E-1,5.432952118E0,1.837578735E1,5.013973389E0
2.672786250E-1,5.169799347E0,1.856813736E1,4.584516449E0
2.773026250E-1,4.342320099E0,1.677142365E1,5.016218719E0
2.873256250E-1,4.014651489E0,1.409109741E1,5.383405151E0
2.973496250E-1,4.097878418E0,1.101694016E1,5.801036682E0
3.073726250E-1,4.720134430E0,8.221054230E0,4.817132721E0
3.173966250E-1,5.273234253E0,6.430926819E0,2.680625610E0
3.274196250E-1,4.241579590E0,6.282285919E0,7.460485840E-1
3.374436250E-1,2.272125092E0,7.459737396E0,-5.369334412E-1
3.474676250E-1,5.626799011E-1,8.910221100E0,-2.040856018E0
3.574906250E-1,-9.996212769E-1,1.063703018E1,-3.503015442E0
3.675146250E-1,-2.549498291E0,1.227552292E1,-3.714076538E0
3.775376250E-1,-3.923191681E0,1.433104843E1,-1.258283386E0
3.875616250E-1,-6.097120972E0,1.739412872E1,4.588408356E0
3.975846250E-1,-8.385711823E0,1.786205566E1,7.590415649E0
4.076086250E-1,-1.058299255E1,1.389335861E1,4.541855164E0
4.176326250E-1,-1.053419403E1,1.003378464E1,3.815565491E-1
4.276556250E-1,-6.170618134E0,7.586972809E0,-1.650318146E0
4.376796250E-1,-3.572021942E0,5.219795380E0,-2.656076660E0
4.477026250E-1,-3.010539551E0,3.118016052E0,-3.311114502E0
4.577266250E-1,-2.315534821E0,2.369273071E0,-4.202510834E0
4.677506250E-1,-1.187031555E0,3.119213562E0,-5.439239044E0
4.777736250E-1,1.806742859E-1,5.376369781E0,-5.697152710E0
4.877976250E-1,1.763033752E0,8.843160553E0,-4.219275970E0
4.978206250E-1,3.668122101E0,1.199710190E1,-2.450104980E0
5.078446250E-1,5.339845734E0,1.402224060E1,-2.034718781E0
5.178676250E-1,5.276527405E0,1.464584381E1,-2.537373505E0
5.278916250E-1,4.095483398E0,1.365759888E1,-1.828148346E0
5.379156250E-1,1.920506287E0,1.122845032E1,1.056802368E-1
5.479386250E-1,6.571334839E-2,9.326655121E0,9.660910034E-1
5.579626250E-1,-4.676275635E-1,8.767418060E0,7.873626709E-2
5.679856250E-1,-1.118025055E0,8.608598328E0,-1.090332642E0
5.780096250E-1,-2.112407227E0,8.650960236E0,-1.294058990E0
5.880326250E-1,-2.687810669E0,8.653654633E0,-8.204438782E-1
5.980566250E-1,-3.007845154E0,8.505612488E0,-5.839356995E-1
6.080806250E-1,-2.921474762E0,8.249495087E0,-6.053411865E-1
6.181036250E-1,-2.745590515E0,8.024962006E0,-5.983058167E-1
6.281276250E-1,-2.589764557E0,8.056097260E0,-4.945715332E-1
6.381506250E-1,-2.219584351E0,8.413853302E0,-6.481521606E-2
6.481746250E-1,-1.550625458E0,8.842711487E0,4.776567078E-1
6.581986250E-1,-6.511459351E-1,9.256301422E0,6.939569092E-1
6.682216250E-1,-1.420545959E-1,9.569450226E0,4.014651489E-1
6.782456250E-1,5.992039490E-1,9.515412598E0,5.553451538E-2
6.882686250E-1,6.740483093E-1,9.588760071E0,-7.092251587E-1
6.982926250E-1,6.511459351E-1,9.370962982E0,-1.371298370E0
7.083156250E-1,4.137396240E-1,9.043294373E0,-1.726509705E0
7.183396250E-1,6.499484253E-1,8.808283081E0,-1.836680603E0
7.283636250E-1,9.840536499E-1,8.730594635E0,-1.633553009E0
7.383866250E-1,4.824467468E-1,8.705297241E0,-1.364712067E0
7.484106250E-1,6.915618896E-2,8.913813629E0,-1.189725952E0
7.584336250E-1,-6.331832886E-2,9.355545044E0,-9.433383179E-1
7.684576250E-1,-2.579136658E-1,9.807754669E0,-7.866142273E-1
7.784806250E-1,-3.492237854E-1,1.014245865E1,-9.719288635E-1
7.885046250E-1,-6.807843018E-1,1.023481659E1,-1.565145264E0
7.985286250E-1,-7.429051208E-1,1.011326935E1,-1.876647491E0
8.085516250E-1,-1.543141022E0,1.022733215E1,-1.620829468E0
8.185756250E-1,-1.216370544E0,1.093236603E1,-7.638615417E-1
