"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.133916667E-3,-4.420589209E-1,2.448712438E-1,2.578286529E-1
1.415791667E-2,-7.891134620E-1,2.277829170E0,7.209212184E-1
2.418191667E-2,-9.158914089E-1,3.069633245E0,7.796279192E-1
3.420491666E-2,-5.538891554E-1,2.794562578E0,7.011201978E-1
4.422891667E-2,5.849195272E-2,1.850010514E0,5.558530688E-1
5.425191667E-2,7.070004344E-1,8.530249000E-1,4.374235868E-1
6.427591667E-2,1.325971961E0,1.367724836E-1,2.608429790E-1
7.429891666E-2,1.717505574E0,-3.560395837E-1,-9.449715912E-2
8.432291667E-2,1.841171384E0,-9.641002417E-1,-6.701053381E-1
9.434591667E-2,1.823623896E0,-1.604471564E0,-1.195314169E0
1.043699167E-1,1.860210299E0,-1.932719707E0,-1.561354756E0
1.143939167E-1,1.745596409E0,-7.305274010E-1,-1.767832994E0
1.244169167E-1,6.425890923E-1,8.974989057E-1,-1.359100103E0
1.344409167E-1,-4.019357562E-1,1.095172167E0,-5.491741300E-1
1.444639167E-1,-7.542413473E-1,5.847398043E-1,-8.746059984E-2
1.544879167E-1,-4.269934893E-1,1.167875305E-1,-1.542412788E-1
1.645109167E-1,1.575203091E-1,-1.979869306E-1,-3.967585862E-1
1.745349167E-1,5.710875392E-1,-1.898619533E-1,-6.338405013E-1
1.845579167E-1,8.804155588E-1,-3.175380453E-2,-6.923549771E-1
1.945819167E-1,1.190759778E0,1.240069494E-1,-6.053628325E-1
2.046059167E-1,1.547781348E0,3.387594521E-1,-5.251659751E-1
2.146289167E-1,1.877136469E0,4.273752570E-1,-5.501580834E-1
2.246529167E-1,2.098916769E0,3.375928998E-1,-6.071723700E-1
2.346759167E-1,2.200058460E0,8.009091020E-3,-6.467793584E-1
2.446999167E-1,2.185440540E0,-3.163514137E-1,-5.736114383E-1
2.547229167E-1,2.060651302E0,-4.405946434E-1,-3.859670460E-1
2.647469167E-1,1.883175015E0,-4.213415980E-1,-4.243870825E-2
2.747699167E-1,1.726730585E0,-4.272679389E-1,3.188685775E-1
2.847939167E-1,1.599670887E0,-6.268004775E-1,5.538696647E-1
2.948179167E-1,1.491211057E0,-9.308623672E-1,6.423671842E-1
3.048409167E-1,1.453139544E0,-1.323015213E0,6.494042873E-1
3.148649167E-1,1.454808474E0,-1.565896153E0,5.641702414E-1
3.248879167E-1,1.433071494E0,-1.580265045E0,4.052386582E-1
3.349119167E-1,1.430455446E0,-1.502072334E0,2.127879113E-1
3.449349167E-1,1.457652688E0,-1.304841280E0,1.290808897E-2
3.549589167E-1,1.459028006E0,-1.082958698E0,-1.841236949E-1
3.649819167E-1,1.425169110E0,-8.071725965E-1,-3.694211245E-1
3.750059167E-1,1.387567759E0,-5.328059196E-1,-4.966418147E-1
3.850299167E-1,1.336828947E0,-4.063899517E-1,-5.605198145E-1
3.950529167E-1,1.194475889E0,-3.661239445E-1,-5.556890965E-1
4.050769167E-1,1.003812671E0,-4.265284240E-1,-5.935515165E-1
4.150999167E-1,8.483505845E-1,-5.443971157E-1,-6.560531855E-1
4.251239167E-1,7.481797338E-1,-5.976531506E-1,-6.228461862E-1
4.351469167E-1,7.162351608E-1,-5.677589774E-1,-5.505317450E-1
4.451709167E-1,7.404651046E-1,-5.407941937E-1,-5.227216482E-1
4.551939167E-1,7.927744389E-1,-5.550822616E-1,-5.395301580E-1
4.652179167E-1,8.351900578E-1,-5.741621852E-1,-5.836502314E-1
4.752419167E-1,8.506339192E-1,-5.610265136E-1,-6.329102516E-1
4.852649167E-1,8.533746004E-1,-5.496201515E-1,-6.663233042E-1
4.952889167E-1,8.672580719E-1,-5.671328902E-1,-6.789582968E-1
5.053119167E-1,8.767822981E-1,-6.265988946E-1,-6.611508131E-1
5.153359167E-1,7.527414560E-1,-7.552600503E-1,-6.195451617E-1
