"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.169166697E-4,-1.338815918E0,8.693172455E0,2.221081238E0
1.094091667E-2,-1.466500397E0,8.819659424E0,1.974992981E0
2.096391667E-2,-1.661395111E0,8.860374756E0,1.775457916E0
3.098791667E-2,-1.916015625E0,8.970096588E0,1.836680603E0
4.101191667E-2,-2.181413727E0,9.244176636E0,1.786534882E0
5.103491667E-2,-2.504441986E0,9.551188202E0,1.636995850E0
6.105891667E-2,-2.974015503E0,1.034858002E1,1.672023010E0
7.108191667E-2,-3.640729065E0,1.160626465E1,1.492546234E0
8.110591667E-2,-4.580175476E0,1.291678940E1,1.972148895E0
9.112891667E-2,-5.658233643E0,1.367735779E1,3.048111420E0
1.011529167E-1,-5.648653564E0,1.316377579E1,3.539689178E0
1.111759167E-1,-3.820355530E0,1.156659714E1,3.215613098E0
1.211999167E-1,-1.876048737E0,1.003752686E1,2.424508209E0
1.312229167E-1,-4.267625427E-1,9.465266876E0,1.763333130E0
1.412469167E-1,1.050814819E0,1.009710297E1,1.145567780E0
1.512699167E-1,6.258485413E-1,1.033376083E1,2.433938599E-1
1.612939167E-1,-1.361568604E0,9.867031403E0,-1.993853760E-1
1.713179167E-1,-2.063758392E0,9.536967773E0,-7.634124756E-2
1.813409167E-1,-2.333497467E0,9.073681183E0,2.101629639E-1
1.913649167E-1,-2.592908020E0,8.389454041E0,4.472698975E-1
2.013879167E-1,-2.568359070E0,8.134983215E0,4.948709106E-1
2.114119167E-1,-2.390079803E0,8.352780304E0,5.469625854E-1
2.214349167E-1,-2.062411194E0,8.715476074E0,5.333409119E-1
2.314589167E-1,-1.770069122E0,8.660839691E0,5.942642212E-2
2.414819167E-1,-1.190474396E0,9.029523010E0,-7.580236816E-1
2.515059167E-1,-7.741900635E-1,1.004007156E1,-1.475481720E0
2.615289167E-1,-6.259982300E-1,1.061008621E1,-1.955084381E0
2.715529167E-1,-8.333171082E-1,1.078507233E1,-1.854044495E0
2.815759167E-1,-1.286873932E0,1.054841446E1,-1.411115570E0
2.915999167E-1,-1.676663361E0,9.888885956E0,-1.243613892E0
3.016239167E-1,-2.223775635E0,9.683812408E0,-9.490264893E-1
3.116469167E-1,-2.800226898E0,9.451345825E0,-1.043480072E0
3.216709167E-1,-2.894979858E0,9.006321259E0,-1.554367676E0
3.316939167E-1,-3.051254883E0,9.009464722E0,-1.839075623E0
3.417179167E-1,-3.206182709E0,9.184301147E0,-1.756447449E0
3.517409167E-1,-3.232228546E0,9.504185944E0,-1.751807098E0
3.617649167E-1,-3.043022003E0,9.883497162E0,-1.881437531E0
3.717879167E-1,-2.703977051E0,1.019050873E1,-1.916913757E0
3.818119167E-1,-2.398013306E0,1.042372375E1,-1.794318695E0
3.918349167E-1,-1.992506561E0,1.059287201E1,-1.423988800E0
4.018589167E-1,-1.788630524E0,1.079270645E1,-7.610174561E-1
4.118819167E-1,-1.489851837E0,1.105735611E1,1.106199646E-1
4.219059167E-1,-1.656904449E0,1.133008896E1,5.566923523E-1
4.319299167E-1,-1.814077606E0,1.143217667E1,3.634442139E-1
4.419529167E-1,-1.159937897E0,1.116258728E1,-5.300477600E-1
4.519769167E-1,1.212478638E-1,1.016326538E1,-4.607418823E-1
4.619999167E-1,1.050964508E0,8.844058685E0,1.238374786E0
4.720239167E-1,1.281934204E0,7.527546387E0,2.284549255E0
4.820469167E-1,1.402283936E0,6.419999542E0,3.576213226E0
4.920709167E-1,1.348096619E0,5.398074646E0,3.777544556E0
5.020939167E-1,1.448088684E0,5.083279266E0,2.001787262E0
5.121179167E-1,1.313668213E0,5.337600403E0,5.397775269E-1
5.221409167E-1,1.237925720E0,5.533093872E0,-1.110690308E-1
5.321649167E-1,1.242266693E0,4.920417938E0,5.111869812E-1
5.421879167E-1,1.012494507E0,3.638932800E0,2.763702850E0
5.522119167E-1,1.734892273E-1,2.921025696E0,3.129991150E0
5.622359167E-1,-7.077282715E-1,3.100203094E0,2.024839325E0
5.722589167E-1,-1.137035522E0,4.043840790E0,2.579585724E0
5.822829167E-1,-1.311123505E0,5.796695709E0,3.654650116E0
5.923054583E-1,-1.538949738E0,8.378227386E0,3.889960785E0
6.023294583E-1,-1.757046204E0,1.102607117E1,3.366199951E0
6.123524583E-1,-1.708247681E0,1.268522095E1,2.348616028E0
6.223764583E-1,-8.205935669E-1,1.325373871E1,2.696043549E0
6.323994583E-1,4.412823486E-1,1.332813400E1,3.747008057E0
6.424234583E-1,1.017284546E0,1.326361816E1,3.255130920E0
6.524464583E-1,8.825646973E-1,1.306318497E1,3.198099518E0
6.624704583E-1,5.920188904E-1,1.316557205E1,4.412374420E0
6.724934583E-1,-1.302291870E-1,1.403346725E1,5.114115143E0
6.825174583E-1,-8.616082764E-1,1.622371262E1,5.559439087E0
6.925414583E-1,-1.265318756E0,1.965697311E1,7.252867584E0
7.025644583E-1,-1.820364532E0,2.300101913E1,7.446714478E0
7.125884583E-1,-2.839595032E0,2.435330704E1,5.710774384E0
7.226114583E-1,-3.135230255E0,2.347014359E1,5.076692963E0
7.326354583E-1,-2.843037872E0,2.202055801E1,4.609514465E0
7.426584583E-1,-3.341351624E0,2.092468689E1,3.476969604E0
7.526824583E-1,-4.477938080E0,2.049208649E1,1.959275665E0
7.627054583E-1,-5.800437927E0,2.046244812E1,5.405259705E-1
7.727294583E-1,-6.912176056E0,2.101659576E1,-2.080673218E-2
7.827524583E-1,-8.355624390E0,2.244118332E1,7.658074951E-1
7.927764583E-1,-9.616003418E0,2.446707047E1,1.334325256E0
8.027994583E-1,-7.525151367E0,2.422158096E1,2.264790344E-1
8.128234583E-1,-3.503913574E0,1.983420456E1,1.262324982E0
8.228474583E-1,-1.889221344E0,1.397987869E1,2.769840088E0
8.328704583E-1,-4.746629333E-1,9.540560303E0,3.409459991E0
8.428944583E-1,1.299896851E0,5.958509216E0,2.783012695E0
8.529174583E-1,2.280507660E0,2.743943939E0,1.228794708E0
8.629414583E-1,3.121309204E0,-1.281335449E-1,-6.227050781E-2
8.729644583E-1,3.116668854E0,-1.602417755E0,-9.714797974E-1
8.829884583E-1,2.884950714E0,-2.096989288E0,-1.293310547E0
8.930114583E-1,2.906356201E0,-3.030747528E0,8.604107666E-1
9.030354583E-1,3.290756836E0,-1.242865448E0,4.663701782E0
9.130584583E-1,3.177891541E0,1.945803680E0,7.807314606E0
9.230824583E-1,2.726130981E0,3.336711273E0,6.471043396E0
9.331054583E-1,1.114582214E0,2.562970276E0,1.564995575E0
9.431294583E-1,-1.339714050E0,6.107299805E-2,-1.495989075E0
9.531524583E-1,-2.141446838E0,-1.395098877E0,-2.359992371E0
9.631764583E-1,-1.440604248E0,-1.712438965E0,-2.605481873E0
9.732004583E-1,-1.250200195E0,-1.832639008E0,-2.406246185E0
9.832234583E-1,-1.620380402E0,-2.668201447E0,-1.448388062E0
9.932474583E-1,-1.914967804E0,-2.916834412E0,-5.818400574E-1
1.003270458E0,-1.543590088E0,-2.703378296E0,-4.206253052E-2
1.013294458E0,-8.768765259E-1,-2.061962128E0,-3.198847961E-1
1.023317458E0,-8.023315430E-1,-8.015830994E-1,-1.136736145E0
1.033341458E0,-1.671573944E0,1.113235016E0,-1.317260742E0
1.043364458E0,-2.327958984E0,2.267933807E0,-2.956352234E-1
1.053388458E0,-2.042053528E0,2.360740814E0,7.744894409E-1
1.063411458E0,-1.802551575E0,2.433190155E0,7.842192078E-1
1.073435458E0,-1.317560120E0,2.269281006E0,1.354682922E-1
1.083458458E0,-4.516108704E-1,1.601669312E0,-2.264790344E-1
1.093482458E0,-9.250762939E-2,7.280859375E-1,-2.366578674E-1
1.103506458E0,3.329077148E-1,-1.221459961E-1,7.005432129E-2
1.113529458E0,9.053173828E-1,-6.388714600E-1,3.781137085E-1
1.123553458E0,9.804611206E-1,-1.020278320E0,4.864883423E-2
1.133576458E0,1.418450317E0,-1.180744629E0,-1.129401398E0
1.143600458E0,1.622925110E0,-7.409591675E-1,-1.429377594E0
1.153623458E0,6.231541443E-1,1.507365417E-1,-2.878514099E-1
1.163647458E0,-6.128256226E-1,1.441502380E0,1.665436707E0
1.173670458E0,-1.869163055E0,3.777095490E0,4.858895874E0
1.183694458E0,-1.779649200E0,8.607700195E0,6.480623474E0
1.193717458E0,-3.936813354E-1,1.289014481E1,3.074157257E0
1.203741458E0,3.713777161E-1,2.228565674E1,1.450783081E0
1.213764458E0,-1.431473236E0,3.422153595E1,2.958896942E0
1.223788458E0,-4.011657715E0,3.137864777E1,4.258045349E0
1.233811458E0,-2.806513824E0,1.788271271E1,1.107995911E0
1.243835458E0,1.949695587E0,1.293235703E1,-2.553689575E0
1.253859458E0,2.037413177E0,1.326152252E1,2.987786865E-1
1.263882458E0,-1.265169067E0,1.591056381E1,5.960155792E0
1.273906458E0,-1.408870239E0,2.420077423E1,9.740095367E0
1.283929458E0,-1.068927155E0,3.572276413E1,1.026699966E1
1.293953458E0,-1.436412964E0,4.368919785E1,8.195906525E0
1.303976458E0,-4.137845306E0,4.078882919E1,7.158264313E0
1.314000458E0,1.009051666E0,3.191004272E1,7.823780365E0
1.324023458E0,3.581003265E0,2.639610901E1,6.517297211E0
1.334047458E0,-1.609153748E0,2.270538391E1,1.826501770E0
1.344070458E0,-3.934418335E0,2.198029175E1,1.648372192E0
1.354094458E0,-4.629123688E0,2.430076630E1,5.142406311E0
1.364117458E0,-6.680906982E0,2.693319214E1,5.250930634E0
1.374141458E0,-8.495733032E0,2.678215622E1,2.673889618E0
1.384165458E0,-8.454119568E0,2.490805344E1,1.427132263E0
1.394188458E0,-6.594985657E0,2.186518112E1,2.307601318E0
1.404212458E0,-3.926933899E0,1.782553162E1,1.041384430E0
1.414235458E0,-1.789528656E0,1.444615906E1,-1.089135132E0
1.424259458E0,1.676513672E-2,1.167467239E1,-1.777403870E0
1.434282458E0,1.477577362E0,8.969048767E0,-9.660910034E-1
1.444306458E0,1.625619507E0,6.237678680E0,4.059558105E-1
1.454329458E0,1.632355499E0,3.284918976E0,8.861572266E-1
1.464353458E0,1.946851501E0,6.515950012E-1,-1.088237000E-1
1.474376458E0,2.243534546E0,-1.267115021E0,-1.660197601E0
1.484400458E0,2.000889130E0,-2.871778107E0,-3.218157806E0
1.494423458E0,1.240320740E0,-3.436104584E0,-3.697012024E0
1.504447458E0,8.725355530E-1,-3.386557617E0,-1.057101746E0
1.514470458E0,-5.101391602E-1,-3.901037750E0,2.941982117E0
1.524494458E0,-2.660267944E0,-1.571581879E0,8.026608582E0
1.534518458E0,-2.106120300E0,1.438508606E0,1.174697205E1
1.544541458E0,-8.828640747E-1,1.373543701E0,6.491850128E0
1.554565458E0,2.231858826E-1,1.172811127E0,3.026705933E-1
1.564588458E0,8.595126343E-1,7.415579224E-1,-3.329526215E0
1.574612458E0,5.215155029E-1,-7.035369873E-2,-4.850363617E0
1.584635458E0,2.821632385E-1,-4.396357727E-1,-4.883444824E0
1.594659083E0,1.056802368E0,-4.111949158E-1,-3.814068604E0
1.604682083E0,1.269210663E0,-1.975891113E-1,-2.055675201E0
1.614706083E0,2.191442871E-1,-2.472857666E-1,-8.711883545E-2
1.624729083E0,-5.601351929E-1,-2.293231201E-1,9.346563721E-1
1.634753083E0,-6.258485413E-1,5.628295898E-2,6.557862854E-1
1.644776083E0,-3.293151855E-3,7.494914246E-1,4.790039062E-1
1.654800083E0,6.183641052E-1,1.290466461E0,6.855743408E-1
