"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.860124998E-3,-8.188683540E-2,9.485682845E-1,2.871739268E-1
1.288412500E-2,-8.461815119E-2,9.590923190E-1,2.941584289E-1
2.290812500E-2,-6.670120358E-2,9.753535390E-1,2.954843938E-1
3.293112500E-2,-4.236814007E-2,9.894778728E-1,2.920874059E-1
4.295512500E-2,-1.462838892E-2,9.991094470E-1,2.901164293E-1
5.297912500E-2,7.279698737E-3,1.004806399E0,2.838093340E-1
6.300312500E-2,1.803913526E-2,1.004911900E0,2.863380015E-1
7.302712500E-2,2.136578038E-2,9.964359403E-1,2.956313193E-1
8.305112500E-2,2.055112086E-2,9.889548421E-1,3.073545396E-1
9.307512500E-2,2.442714013E-2,9.955167770E-1,3.157403767E-1
1.030991250E-1,2.703038044E-2,1.003952265E0,3.157563508E-1
1.131231250E-1,3.719301149E-2,1.016011477E0,3.104318976E-1
1.231471250E-1,4.807335511E-2,1.036070108E0,3.086041808E-1
1.331711250E-1,5.104997009E-2,1.056938410E0,3.012413383E-1
1.431941250E-1,5.043371394E-2,1.074190140E0,2.939317524E-1
1.532181250E-1,5.287619680E-2,1.094366431E0,2.821589112E-1
1.632421250E-1,5.614389479E-2,1.099733233E0,2.771622837E-1
1.732661250E-1,5.438367277E-2,1.090451479E0,2.827995121E-1
1.832901250E-1,4.350732267E-2,1.076309562E0,2.967126667E-1
1.933141250E-1,1.705319993E-2,1.056216598E0,3.131209910E-1
2.033381250E-1,-5.827615969E-3,1.041978240E0,3.255606294E-1
2.133621250E-1,-2.282819897E-2,1.044401288E0,3.308766782E-1
2.233861250E-1,-2.843175642E-2,1.061986089E0,3.339230716E-1
2.334101250E-1,-3.247873113E-2,1.077905416E0,3.320408762E-1
2.434341250E-1,-3.678586334E-2,1.086850166E0,3.262953758E-1
2.534571250E-1,-3.635185584E-2,1.091075897E0,3.201251626E-1
2.634811250E-1,-2.423873544E-2,1.085854769E0,3.203738928E-1
2.735051250E-1,-7.612558082E-3,1.080784678E0,3.245188594E-1
2.835291250E-1,1.048761699E-2,1.076764107E0,3.306531906E-1
2.935531250E-1,1.529003121E-2,1.072904944E0,3.311764598E-1
3.035771250E-1,1.393794455E-2,1.076220036E0,3.307567537E-1
3.136011250E-1,3.241155297E-3,1.083988667E0,3.257662952E-1
3.236251250E-1,-9.092476219E-3,1.089305162E0,3.303456008E-1
3.336491250E-1,-1.697739586E-2,1.088742137E0,3.361441493E-1
3.436731250E-1,-2.118785307E-2,1.079768300E0,3.428816795E-1
3.536971250E-1,-1.707945764E-2,1.084663630E0,3.428909779E-1
3.637201250E-1,-1.652765088E-2,1.093494892E0,3.407894671E-1
3.737441250E-1,-5.728420336E-3,1.103259802E0,3.361563683E-1
3.837681250E-1,5.103011499E-4,1.098736405E0,3.317483068E-1
3.937921250E-1,9.665407240E-3,1.099139810E0,3.312162459E-1
4.038161250E-1,1.057088189E-2,1.108271480E0,3.334269226E-1
4.138401250E-1,1.290961448E-2,1.125184655E0,3.328093588E-1
4.238641250E-1,9.797178209E-3,1.129014015E0,3.388462067E-1
4.338881250E-1,4.025512375E-3,1.120116711E0,3.507665098E-1
4.439121250E-1,-7.990699960E-4,1.106325507E0,3.615280688E-1
4.539361250E-1,-3.688950790E-3,1.097714424E0,3.624301553E-1
4.639591250E-1,-1.344299817E-4,1.095004082E0,3.543732762E-1
4.739831250E-1,4.040741827E-3,1.082902431E0,3.548608124E-1
4.840071250E-1,1.145711262E-2,1.077148914E0,3.562270105E-1
4.940311250E-1,2.573907748E-2,1.077127934E0,3.523743451E-1
5.040551250E-1,4.040830210E-2,1.088201046E0,3.425920010E-1
5.140791250E-1,5.262786523E-2,1.096834183E0,3.412684798E-1
5.241031250E-1,5.029972643E-2,1.096519232E0,3.437747955E-1
5.341271250E-1,3.492603451E-2,1.099801540E0,3.449792862E-1
5.441511250E-1,1.805970445E-2,1.100390911E0,3.484938443E-1
5.541751250E-1,1.440374646E-2,1.109605312E0,3.490620553E-1
5.641991250E-1,2.715149894E-2,1.115976453E0,3.513406515E-1
5.742221250E-1,4.253396019E-2,1.120363593E0,3.567788005E-1
5.842461250E-1,5.469128862E-2,1.120391130E0,3.561643958E-1
5.942701250E-1,5.300886557E-2,1.122233152E0,3.567529619E-1
6.042941250E-1,4.204409942E-2,1.122335672E0,3.568983674E-1
6.143181250E-1,2.243269421E-2,1.122293711E0,3.565228581E-1
6.243421250E-1,1.096884999E-2,1.118250012E0,3.609594405E-1
