"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.668499997E-3,-1.300978381E-2,1.073884606E0,2.779300213E-1
1.169250000E-2,-1.145202015E-2,1.077393651E0,2.829574645E-1
2.171650000E-2,-1.576207951E-2,1.083145022E0,2.887799442E-1
3.174050000E-2,-1.645999402E-2,1.088752031E0,2.906044126E-1
4.176450000E-2,-1.832767017E-2,1.092823148E0,2.985313237E-1
5.178850000E-2,-1.980802231E-2,1.099838138E0,3.037808836E-1
6.181150000E-2,-2.342166565E-2,1.107068181E0,3.031345308E-1
7.183550000E-2,-2.320470288E-2,1.113314390E0,3.069821596E-1
8.185950000E-2,-2.340790257E-2,1.118616700E0,3.066716194E-1
9.188350000E-2,-2.199579403E-2,1.123477221E0,3.054515421E-1
1.019075000E-1,-2.044636756E-2,1.124666214E0,3.037473857E-1
1.119315000E-1,-1.598320343E-2,1.126612306E0,3.030617535E-1
1.219555000E-1,-1.299273968E-2,1.126267672E0,3.017759621E-1
1.319795000E-1,-1.110501494E-2,1.126929641E0,3.005699515E-1
1.420035000E-1,-6.417051889E-3,1.124269843E0,3.042573631E-1
1.520265000E-1,-9.410783648E-3,1.125266194E0,3.060626686E-1
1.620505000E-1,-1.103238203E-2,1.126954317E0,3.049595952E-1
1.720745000E-1,-1.401582174E-2,1.127960920E0,3.073726296E-1
1.820985000E-1,-2.097892202E-2,1.131559968E0,3.089867830E-1
1.921225000E-1,-2.212230116E-2,1.132556558E0,3.089801371E-1
2.021465000E-1,-2.500863560E-2,1.133924842E0,3.084685504E-1
2.121705000E-1,-2.491328306E-2,1.132235408E0,3.074159622E-1
2.221945000E-1,-2.632262930E-2,1.131927013E0,3.047626615E-1
2.322185000E-1,-2.192097344E-2,1.129330039E0,3.035870194E-1
2.422415000E-1,-1.913983561E-2,1.122954965E0,2.999704480E-1
2.522655000E-1,-1.116307173E-2,1.115668416E0,2.998500764E-1
2.622895000E-1,-7.744637784E-3,1.109114647E0,2.979081273E-1
2.723135000E-1,-4.527146462E-3,1.102681160E0,2.998808026E-1
2.823375000E-1,-2.147079445E-3,1.096100450E0,2.992083430E-1
2.923610000E-1,-4.354496952E-3,1.093558669E0,3.001781702E-1
3.023850000E-1,-6.579834502E-3,1.090471864E0,2.991397977E-1
3.124090000E-1,-1.142129395E-2,1.088251829E0,3.011249602E-1
3.224330000E-1,-1.833139732E-2,1.088177800E0,3.009878099E-1
3.324560000E-1,-2.244221792E-2,1.086333036E0,3.005123436E-1
3.424800000E-1,-2.731713466E-2,1.084918380E0,3.032961190E-1
3.525040000E-1,-2.774033323E-2,1.084598303E0,2.994869351E-1
3.625280000E-1,-2.588411048E-2,1.080129981E0,2.982128859E-1
3.725520000E-1,-2.541578747E-2,1.080406785E0,2.974966466E-1
3.825760000E-1,-2.131105587E-2,1.081357360E0,2.943964601E-1
3.926000000E-1,-1.584371552E-2,1.075856686E0,2.891408205E-1
4.026240000E-1,-1.207374595E-2,1.073873401E0,2.894007266E-1
4.126480000E-1,-6.420623045E-3,1.070058942E0,2.859029174E-1
4.226720000E-1,-3.775305580E-3,1.071756959E0,2.884920537E-1
4.326950000E-1,-6.751477718E-3,1.071188688E0,2.899440825E-1
4.427190000E-1,-9.886284359E-3,1.075584769E0,2.917638123E-1
4.527430000E-1,-1.322605461E-2,1.078693628E0,2.971371710E-1
4.627670000E-1,-1.641066372E-2,1.081763029E0,3.025175631E-1
4.727910000E-1,-1.919277757E-2,1.087880969E0,3.024096489E-1
4.828150000E-1,-2.256220952E-2,1.093599916E0,3.044946492E-1
4.928390000E-1,-2.552421577E-2,1.098868728E0,3.050198555E-1
5.028630000E-1,-2.710400335E-2,1.105570316E0,3.071573079E-1
5.128870000E-1,-2.402881160E-2,1.112082243E0,3.037710488E-1
5.229100000E-1,-2.009612322E-2,1.119594932E0,3.061452508E-1
5.329340000E-1,-1.658825576E-2,1.130129576E0,3.065671623E-1
5.429580000E-1,-1.399167348E-2,1.138567805E0,3.077112734E-1
5.529820000E-1,-9.843916632E-3,1.144567609E0,3.096733689E-1
5.630060000E-1,-8.094220422E-3,1.157046914E0,3.135716915E-1
5.730300000E-1,-1.082218252E-2,1.167266369E0,3.193554282E-1
5.830540000E-1,-1.308054291E-2,1.176709414E0,3.222476244E-1
5.930780000E-1,-1.396412961E-2,1.187927365E0,3.288644850E-1
6.031020000E-1,-1.653328165E-2,1.199630022E0,3.321684003E-1
6.131250000E-1,-1.859723590E-2,1.212375522E0,3.361758590E-1
6.231490000E-1,-2.194349654E-2,1.225797296E0,3.391532600E-1
6.331730000E-1,-2.470172942E-2,1.239503145E0,3.384031355E-1
6.431970000E-1,-2.303885110E-2,1.251427770E0,3.385954201E-1
6.532210000E-1,-1.749734581E-2,1.261578321E0,3.383469284E-1
6.632450000E-1,-1.588560082E-2,1.271857381E0,3.373618424E-1
6.732690000E-1,-1.369928569E-2,1.283826828E0,3.410394788E-1
6.832930000E-1,-1.109338179E-2,1.292664289E0,3.423390985E-1
6.933170000E-1,-1.134647243E-2,1.297512412E0,3.470636010E-1
7.033400000E-1,-8.393825963E-3,1.304836631E0,3.528277576E-1
7.133640000E-1,-8.707429282E-3,1.309784055E0,3.572311401E-1
7.233880000E-1,-1.243079547E-2,1.313223243E0,3.612059057E-1
7.334120000E-1,-1.457956061E-2,1.316094518E0,3.647531271E-1
7.434360000E-1,-1.518755965E-2,1.321723104E0,3.647400737E-1
7.534600000E-1,-1.405640133E-2,1.326279998E0,3.645414412E-1
7.634840000E-1,-1.294453163E-2,1.329810023E0,3.628737628E-1
7.735080000E-1,-1.130260713E-2,1.330300808E0,3.593012393E-1
7.835320000E-1,-9.390191175E-3,1.329400897E0,3.555688262E-1
7.935550000E-1,-1.169594191E-2,1.325610161E0,3.520711362E-1
8.035790000E-1,-1.095877960E-2,1.324411392E0,3.504961431E-1
8.136030000E-1,-1.035211142E-2,1.320307493E0,3.500385880E-1
8.236270000E-1,-1.440011617E-2,1.317323208E0,3.527100086E-1
8.336510000E-1,-2.159906179E-2,1.315747619E0,3.554802537E-1
8.436750000E-1,-3.050573729E-2,1.318194747E0,3.606318533E-1
8.536990000E-1,-3.732517734E-2,1.324322343E0,3.686360717E-1
8.637230000E-1,-3.860881925E-2,1.331526995E0,3.729138970E-1
8.737470000E-1,-3.357765079E-2,1.337177157E0,3.746392429E-1
8.837700000E-1,-2.544036321E-2,1.343104839E0,3.723651767E-1
8.937940000E-1,-1.629951969E-2,1.344433188E0,3.686824143E-1
9.038180000E-1,-1.637062617E-2,1.345999360E0,3.621747196E-1
9.138420000E-1,-1.597424783E-2,1.351803899E0,3.596113622E-1
9.238660000E-1,-1.615907066E-2,1.362306952E0,3.646114469E-1
9.338900000E-1,-1.521012373E-2,1.374515295E0,3.718558252E-1
9.439140000E-1,-1.310888957E-2,1.386925340E0,3.808932900E-1
9.539380000E-1,-9.984035045E-3,1.393935919E0,3.827921748E-1
9.639620000E-1,-1.285199355E-2,1.399258733E0,3.834662139E-1
9.739850000E-1,-1.551831421E-2,1.397817254E0,3.791880012E-1
9.840090000E-1,-8.655614220E-3,1.393488526E0,3.738411665E-1
9.940330000E-1,1.693609171E-3,1.388541460E0,3.729875088E-1
1.004057000E0,5.646538921E-3,1.384478807E0,3.714838922E-1
1.014081000E0,5.272843991E-4,1.378972054E0,3.718582392E-1
1.024105000E0,-8.373266086E-3,1.374896646E0,3.722326756E-1
1.034129000E0,-1.726372354E-2,1.367826223E0,3.713105321E-1
1.044153000E0,-2.131732181E-2,1.361950278E0,3.738799691E-1
1.054177000E0,-2.589090727E-2,1.358184099E0,3.721987903E-1
1.064200000E0,-3.049604595E-2,1.349957347E0,3.705771863E-1
1.074224000E0,-3.556520864E-2,1.343873262E0,3.656159639E-1
1.084248000E0,-3.043196723E-2,1.336700201E0,3.616683483E-1
1.094272000E0,-2.128197812E-2,1.329014182E0,3.542376757E-1
1.104296000E0,-1.244614180E-2,1.320594311E0,3.504914045E-1
1.114320000E0,-4.680716898E-3,1.309905767E0,3.461223543E-1
1.124344000E0,-5.826674867E-3,1.300915956E0,3.458307385E-1
1.134368000E0,-1.912567578E-2,1.303425670E0,3.442327678E-1
1.144391000E0,2.895636484E-2,1.309967518E0,3.467555642E-1
1.154415000E0,-5.063149729E-4,1.283622742E0,3.453641534E-1
1.164439000E0,-1.679713838E-2,1.269930840E0,3.484486341E-1
1.174463000E0,-1.213882584E-2,1.275832772E0,3.481011391E-1
1.184487000E0,-1.460198406E-2,1.267640352E0,3.528186679E-1
1.194511000E0,-3.250561655E-2,1.257874727E0,3.559670746E-1
1.204535000E0,-3.393333778E-2,1.261565685E0,3.523366451E-1
1.214559000E0,-4.512742907E-2,1.258607507E0,3.557724655E-1
1.224583000E0,-5.063777417E-2,1.248874187E0,3.586295247E-1
1.234607000E0,-4.676822573E-2,1.247088313E0,3.504178524E-1
1.244630000E0,-3.657710925E-2,1.239567757E0,3.409255445E-1
1.254654000E0,-1.117761526E-2,1.231876135E0,3.304005563E-1
1.264678000E0,5.204287823E-3,1.220859170E0,3.224989772E-1
1.274702000E0,1.776029356E-2,1.212102771E0,3.171848953E-1
1.284726000E0,1.619542018E-2,1.206322551E0,3.100742698E-1
1.294750750E0,1.276330464E-2,1.199950218E0,3.109765947E-1
1.304774750E0,5.648936145E-3,1.186115623E0,3.181980252E-1
1.314798750E0,-2.173494548E-2,1.186677575E0,3.194899559E-1
1.324821750E0,-3.169943020E-2,1.187770009E0,3.180760741E-1
1.334845750E0,-3.162223101E-2,1.182915807E0,3.231284916E-1
1.344869750E0,-2.718327567E-2,1.177368760E0,3.247692585E-1
1.354893750E0,-3.410252556E-2,1.171166062E0,3.263978362E-1
1.364917750E0,-3.909967840E-2,1.165522575E0,3.167292476E-1
1.374941750E0,-3.124071658E-2,1.157624960E0,3.165834844E-1
1.384965750E0,-1.029894780E-2,1.149539590E0,3.183853924E-1
1.394989750E0,8.040213957E-3,1.147415042E0,3.160687387E-1
1.405013750E0,1.023971941E-2,1.145920277E0,3.160405159E-1
1.415036750E0,4.962885287E-4,1.149764538E0,3.192839324E-1
1.425060750E0,-1.683609560E-2,1.151451588E0,3.252720535E-1
1.435084750E0,-2.383436449E-2,1.156479478E0,3.262619078E-1
1.445108750E0,-1.521451119E-2,1.153310061E0,3.308143020E-1
1.455132750E0,-1.314054057E-2,1.147908688E0,3.218802512E-1
1.465156750E0,-1.891693845E-2,1.151385903E0,3.132223189E-1
1.475180750E0,-1.913055032E-2,1.147923589E0,3.082998097E-1
1.485204750E0,-1.696832851E-2,1.139032364E0,3.012110293E-1
1.495228750E0,-8.969674818E-3,1.135890007E0,2.956863940E-1
1.505251750E0,-2.439869801E-3,1.135328889E0,2.937015593E-1
1.515275750E0,-1.052427851E-2,1.131627202E0,2.928992808E-1
1.525299750E0,-1.949380524E-2,1.130463123E0,2.924526930E-1
1.535323750E0,-1.715161838E-2,1.127655983E0,2.963358164E-1
1.545347750E0,-1.816654764E-2,1.123993635E0,2.997025847E-1
1.555371750E0,-1.635167748E-2,1.122872949E0,3.026035130E-1
1.565395750E0,-1.683317684E-2,1.122155786E0,3.070893586E-1
1.575419750E0,-1.855869219E-2,1.117063165E0,3.087157011E-1
1.585443750E0,-1.612243243E-2,1.116385341E0,3.120845854E-1
1.595466750E0,-9.669327177E-3,1.113523245E0,3.159371316E-1
1.605490750E0,-4.146729596E-3,1.112606883E0,3.162556291E-1
1.615514750E0,-6.849291734E-3,1.115576863E0,3.142732382E-1
1.625538750E0,-1.290079299E-2,1.114573598E0,3.150263727E-1
1.635562750E0,-1.304528955E-2,1.114699721E0,3.129076064E-1
1.645586750E0,-1.174460165E-2,1.113430977E0,3.110489845E-1
1.655610750E0,-1.084232330E-2,1.115808725E0,3.033689559E-1
1.665634750E0,-1.270041056E-2,1.116024375E0,2.978772521E-1
1.675657750E0,-1.673748344E-2,1.115592718E0,2.970552146E-1
1.685681750E0,-1.857346669E-2,1.115235567E0,2.933238745E-1
1.695705750E0,-1.896481216E-2,1.116068959E0,2.889114022E-1
1.705729750E0,-1.520256326E-2,1.117624521E0,2.923439741E-1
1.715753750E0,-1.356078777E-2,1.118380904E0,2.963836789E-1
1.725777750E0,-1.196688600E-2,1.120862126E0,2.999888062E-1
1.735801750E0,-1.251814701E-2,1.123726845E0,3.034680486E-1
1.745825750E0,-1.140388008E-2,1.124782801E0,3.097493649E-1
1.755849750E0,-1.002186351E-2,1.129125834E0,3.139217496E-1
1.765872750E0,-6.572803482E-3,1.134189487E0,3.176264763E-1
1.775896750E0,-9.500353597E-3,1.136703730E0,3.188755512E-1
1.785920750E0,-1.413159072E-2,1.143625736E0,3.174408972E-1
1.795944750E0,-1.277717296E-2,1.145933509E0,3.179776669E-1
1.805968750E0,-1.162375789E-2,1.153599501E0,3.164548576E-1
1.815992750E0,-1.167326979E-2,1.160806894E0,3.130818009E-1
1.826016750E0,-1.446799096E-2,1.167927861E0,3.109816313E-1
1.836040750E0,-1.547185890E-2,1.177312374E0,3.119435608E-1
1.846064750E0,-1.334905345E-2,1.183903337E0,3.147888780E-1
1.856087750E0,-1.272404939E-2,1.192277789E0,3.141358793E-1
1.866111750E0,-1.536031254E-2,1.200113893E0,3.166134059E-1
1.876135750E0,-1.637421548E-2,1.205706596E0,3.192367554E-1
1.886159750E0,-1.784587838E-2,1.212294102E0,3.222056329E-1
1.896183750E0,-1.672844216E-2,1.214713693E0,3.253352344E-1
1.906207750E0,-1.895617507E-2,1.219824076E0,3.286375701E-1
1.916231750E0,-2.129985578E-2,1.224811912E0,3.324826956E-1
1.926255750E0,-2.176617645E-2,1.227261543E0,3.344811201E-1
1.936278750E0,-2.283656411E-2,1.234899759E0,3.367309272E-1
1.946302750E0,-1.950867660E-2,1.235515475E0,3.373866081E-1
1.956326750E0,-2.117685601E-2,1.240138650E0,3.333403468E-1
1.966350750E0,-2.124183625E-2,1.241793036E0,3.312582672E-1
1.976374750E0,-2.412483469E-2,1.238418341E0,3.297489882E-1
1.986398750E0,-2.540208772E-2,1.237043381E0,3.269997835E-1
1.996422750E0,-2.331002243E-2,1.237003803E0,3.258820772E-1
2.006446750E0,-1.844282821E-2,1.231701374E0,3.244652748E-1
2.016470750E0,-1.232995093E-2,1.227153540E0,3.239520788E-1
2.026493750E0,-8.873701096E-3,1.219366193E0,3.251608908E-1
2.036517750E0,-9.517436847E-3,1.212840676E0,3.289234340E-1
2.046541750E0,-7.348292042E-3,1.210531712E0,3.311453164E-1
2.056565750E0,-8.627102710E-3,1.206988215E0,3.342065811E-1
2.066589750E0,-1.087108254E-2,1.209566474E0,3.381989300E-1
2.076613750E0,-2.188742720E-2,1.211698294E0,3.399138451E-1
2.086637750E0,-3.404023126E-2,1.213051438E0,3.395479321E-1
2.096661750E0,-3.729039058E-2,1.214154601E0,3.378683925E-1
2.106685750E0,-3.766456246E-2,1.218193531E0,3.288906217E-1
2.116708750E0,-3.238321096E-2,1.218285322E0,3.232680261E-1
2.126732750E0,-3.439363092E-2,1.210192561E0,3.161901534E-1
2.136756750E0,-2.900801040E-2,1.198330760E0,3.131816387E-1
2.146780750E0,-1.687757857E-2,1.187991023E0,3.088774383E-1
2.156804750E0,-3.136223182E-3,1.173541665E0,3.085620105E-1
2.166828750E0,1.376925688E-2,1.160797954E0,3.110062778E-1
2.176852750E0,1.942820847E-2,1.156250238E0,3.146809042E-1
2.186876750E0,1.531815063E-2,1.152451277E0,3.188897669E-1
2.196899750E0,9.645622340E-4,1.153495073E0,3.268494010E-1
2.206923750E0,-5.630489904E-3,1.158027768E0,3.319008648E-1
2.216947750E0,-1.134021766E-2,1.165738463E0,3.327516913E-1
2.226971750E0,-1.451870054E-2,1.174623609E0,3.305889368E-1
2.236995750E0,-1.999818161E-2,1.183411002E0,3.313126266E-1
2.247019750E0,-2.816343307E-2,1.189553857E0,3.261365294E-1
2.257043750E0,-3.550018743E-2,1.196903110E0,3.207677603E-1
2.267067750E0,-3.273715824E-2,1.202608705E0,3.155964315E-1
2.277091750E0,-2.688990906E-2,1.207741380E0,3.145088851E-1
2.287114750E0,-1.849642396E-2,1.213912129E0,3.113059103E-1
2.297138000E0,-1.076675206E-2,1.214808226E0,3.116683662E-1
2.307162000E0,-1.031268388E-2,1.214543819E0,3.166820407E-1
2.317186000E0,-1.022846438E-2,1.215673804E0,3.234222829E-1
2.327210000E0,-5.822264124E-3,1.215582967E0,3.316045702E-1
