"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.000624998E-3,2.614612885E0,1.035546570E1,-1.526076508E0
7.022375001E-3,2.505040741E0,1.037178177E1,-1.767075348E0
1.704637500E-2,2.259551239E0,1.005204666E1,-2.187850342E0
2.706937500E-2,2.024989014E0,9.666747894E0,-2.555485840E0
3.709337500E-2,1.763632507E0,9.401349792E0,-2.657723236E0
4.711637500E-2,1.503922577E0,9.226513367E0,-2.656525726E0
5.714037500E-2,1.218915253E0,9.087751923E0,-2.461331635E0
6.716337500E-2,9.813592529E-1,9.063801727E0,-2.218835907E0
7.718737500E-2,9.003776550E-1,9.205556946E0,-1.999392242E0
8.721037500E-2,7.764353943E-1,9.520651703E0,-1.732946320E0
9.723437500E-2,6.803352356E-1,9.810598755E0,-1.584155731E0
1.072573750E-1,7.336244202E-1,1.000788849E1,-1.597178650E0
1.172813750E-1,6.968009949E-1,1.005983047E1,-1.475930786E0
1.273043750E-1,7.427554321E-1,1.005504044E1,-1.353186035E0
1.373273750E-1,8.632548523E-1,9.916728058E0,-1.232237549E0
1.473513750E-1,8.099656677E-1,9.780511322E0,-1.162931671E0
1.573743750E-1,7.068301392E-1,9.693841553E0,-1.186732178E0
1.673983750E-1,6.792874146E-1,9.702523499E0,-1.307381287E0
1.774213750E-1,7.240443420E-1,9.658215637E0,-1.445693665E0
1.874453750E-1,1.051712952E0,9.560019836E0,-1.663341064E0
1.974683750E-1,1.295406189E0,9.501790924E0,-1.653461609E0
2.074923750E-1,1.775008850E0,9.534572754E0,-1.580862579E0
2.175153750E-1,1.920805664E0,9.672286377E0,-1.735790405E0
2.275393750E-1,1.770069122E0,9.770931244E0,-2.087109833E0
2.375623750E-1,1.769769745E0,9.851164398E0,-2.083966370E0
2.475853750E-1,1.627864838E0,9.937983856E0,-1.778302002E0
2.576093750E-1,1.207389221E0,1.008048752E1,-1.522483978E0
2.676323750E-1,6.491999817E-1,1.039228912E1,-1.317410431E0
2.776563750E-1,1.474433899E-1,1.071262299E1,-9.388476562E-1
2.876793750E-1,-1.722917175E-1,1.061128372E1,-5.017565918E-1
2.977033750E-1,-1.851649475E-1,1.023571472E1,-1.960922241E-1
3.077263750E-1,8.547225952E-2,9.762398987E0,4.456233215E-1
3.177503750E-1,5.062472534E-1,9.398056641E0,1.347797241E0
3.277733750E-1,1.171613617E0,9.263187103E0,1.779349823E0
3.377973750E-1,1.913021851E0,9.423503723E0,6.134243774E-1
3.478203750E-1,1.650018768E0,9.363328857E0,-1.098266144E0
3.578443750E-1,1.288071442E0,8.825796661E0,-6.054908752E-1
3.678673750E-1,1.235680389E0,7.502398682E0,1.656904449E0
3.778913750E-1,1.519789581E0,6.002966766E0,2.451302490E0
3.879143750E-1,1.686542816E0,4.778513031E0,1.374142456E0
3.979373750E-1,2.325414276E0,3.921096039E0,3.227288818E-1
4.079613750E-1,2.531984711E0,2.621947632E0,8.872050476E-1
4.179843750E-1,1.703307953E0,8.758287048E-1,2.872526550E0
4.280083750E-1,-1.185684357E0,3.143463135E-3,2.503843231E0
4.380318750E-1,-3.791764984E0,5.939648438E-1,-2.107467499E0
4.480558750E-1,-2.929857330E0,1.512754211E0,-3.353626099E0
4.580788750E-1,-2.348616028E-1,2.734513550E0,2.451302490E0
4.681028750E-1,1.478026428E0,5.124144287E0,4.189936981E0
