"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.906625003E-3,-8.233935237E-1,2.020360231E0,1.839372277E0
1.293062500E-2,-8.572486639E-1,2.488340378E0,1.832089901E0
2.295362500E-2,-8.796742558E-1,2.864568233E0,1.839642048E0
3.297762500E-2,-8.102088571E-1,2.968044519E0,1.826219201E0
4.300162500E-2,-6.392344236E-1,2.775627613E0,1.735045075E0
5.302462500E-2,-3.653237820E-1,2.388674736E0,1.573693991E0
6.304862500E-2,-6.683984399E-2,2.063480377E0,1.357716680E0
7.307162500E-2,1.878779382E-1,1.803866267E0,1.123785377E0
8.309562500E-2,3.609346449E-1,1.593249917E0,9.027308226E-1
9.311862500E-2,4.950165749E-1,1.417358875E0,6.962063909E-1
1.031426250E-1,6.463529468E-1,1.223519921E0,5.422415137E-1
1.131666250E-1,7.461717129E-1,1.120433450E0,3.971082866E-1
1.231896250E-1,8.009701371E-1,1.109174371E0,2.461947948E-1
1.332136250E-1,8.392730951E-1,1.136010766E0,1.048714966E-1
1.432366250E-1,9.720867872E-1,1.103645682E0,3.498988226E-2
1.532606250E-1,1.219043255E0,1.110360861E0,-2.356450818E-2
1.632836250E-1,1.529684901E0,1.157381654E0,-1.060542390E-1
1.733076250E-1,1.850307584E0,1.156535029E0,-1.932948679E-1
1.833316250E-1,2.123850107E0,1.059003830E0,-2.569327056E-1
1.933546250E-1,2.262963057E0,9.974014163E-1,-3.262028396E-1
2.033786250E-1,2.215827465E0,9.706524611E-1,-4.206607044E-1
2.134016250E-1,1.912141562E0,9.219208956E-1,-5.210661292E-1
2.234256250E-1,1.412835956E0,8.417761922E-1,-5.582963228E-1
2.334486250E-1,9.442028999E-1,6.255011559E-1,-5.187952518E-1
2.434726250E-1,5.389634371E-1,1.091847569E-1,-3.887988031E-1
2.534966250E-1,1.196266189E-1,-4.080594182E-1,-1.773510128E-1
2.635196250E-1,-2.430531681E-1,-1.911028773E-1,1.351900101E-1
2.735436250E-1,-5.140729547E-1,8.678469658E-1,4.157878458E-1
2.835666250E-1,-5.499874353E-1,1.814600348E0,5.393168330E-1
2.935906250E-1,-3.423985243E-1,2.234556913E0,6.010270715E-1
3.036146250E-1,7.475034334E-3,2.069539070E0,6.129215360E-1
3.136376250E-1,3.684215248E-1,1.566803455E0,5.240049958E-1
3.236616250E-1,7.402170300E-1,1.061643004E0,3.570262790E-1
3.336846250E-1,1.139859796E0,7.112658024E-1,1.414439380E-1
3.437086250E-1,1.485491991E0,4.848700464E-1,-1.141306311E-1
