"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.588458334E-3,-1.361718292E0,1.024754013E1,-1.527274017E0
7.435541665E-3,-1.334325256E0,9.879006500E0,-1.664239197E0
1.745854166E-2,-1.257834320E0,9.629475403E0,-1.827998657E0
2.748154167E-2,-1.123114471E0,9.494007111E0,-1.901046753E0
3.750554167E-2,-9.080117798E-1,9.439819794E0,-2.043101349E0
4.752854167E-2,-7.623646545E-1,9.479487305E0,-2.195185089E0
5.755254166E-2,-7.752378845E-1,9.476194153E0,-2.223326569E0
6.757554167E-2,-7.601193237E-1,9.401948547E0,-2.074835358E0
7.759954167E-2,-1.306782532E0,9.359436951E0,-1.924248505E0
8.762254167E-2,-1.181642761E0,9.464817810E0,-1.733395386E0
9.764654167E-2,-1.366208954E0,9.496551819E0,-1.952539673E0
1.076695417E-1,-1.129551086E0,9.444310455E0,-2.052831116E0
1.176935417E-1,-7.616162109E-1,9.423803101E0,-2.035467224E0
1.277165417E-1,-9.882449341E-1,9.441765747E0,-2.046993256E0
1.377405417E-1,-9.741741943E-1,9.434580688E0,-2.213447113E0
1.477635417E-1,-9.541159058E-1,9.548344116E0,-2.165995789E0
1.577865417E-1,-9.961784363E-1,9.501192169E0,-2.237696686E0
1.678105417E-1,-1.077758789E0,9.302704926E0,-2.240391083E0
1.778335417E-1,-9.473799133E-1,9.235045624E0,-2.126178589E0
1.878575417E-1,-7.964936829E-1,9.255702667E0,-2.120939484E0
1.978805417E-1,-4.984634399E-1,9.334289246E0,-2.068249054E0
2.079045417E-1,-1.345701599E-1,9.521100769E0,-1.807640991E0
2.179275417E-1,7.768844604E-2,9.682315521E0,-1.588047638E0
2.279515417E-1,2.924917603E-1,9.929750977E0,-1.406774597E0
2.379745417E-1,2.532733154E-1,9.971364441E0,-1.425635376E0
2.479985417E-1,1.025367737E-1,9.849368134E0,-1.392853546E0
2.580215417E-1,-2.520758057E-1,9.586065674E0,-1.324745178E0
2.680445417E-1,-4.987628174E-1,9.444460144E0,-1.393751678E0
2.780685417E-1,-5.815406799E-1,9.451345825E0,-1.442999268E0
2.880915417E-1,-6.277944946E-1,9.533524933E0,-1.560953979E0
2.981155417E-1,-5.737568665E-1,9.676178284E0,-1.645079041E0
3.081385417E-1,-3.552113342E-1,9.695787506E0,-1.638492737E0
3.181625417E-1,-2.013313293E-1,9.651030579E0,-1.631307678E0
3.281855417E-1,-8.412506104E-2,9.570348358E0,-1.711091766E0
3.382095417E-1,7.933502197E-3,9.614656219E0,-1.728904724E0
3.482325417E-1,5.089416504E-2,9.751172333E0,-1.544188843E0
3.582565417E-1,-5.789959717E-1,9.826615448E0,-1.363963623E0
3.682795417E-1,-4.873864746E-1,1.008258316E1,-1.249751129E0
3.783035417E-1,-2.909948730E-1,1.034543655E1,-1.399290161E0
3.883265417E-1,-3.625460815E-1,1.052042267E1,-1.380130005E0
3.983495417E-1,-7.816744995E-1,1.056892181E1,-1.052311707E0
4.083735417E-1,-1.244961090E0,1.053509216E1,-7.785310364E-1
4.183965417E-1,-1.168320465E0,1.067894302E1,-7.455995178E-1
4.284205417E-1,-9.461824036E-1,1.087413712E1,-7.030879211E-1
4.384435417E-1,-6.547384644E-1,1.091365494E1,-9.726773071E-1
4.484675417E-1,-2.068698120E-1,1.088835754E1,-1.387165375E0
4.584905417E-1,9.684860229E-2,1.094838272E1,-1.576072540E0
4.685145417E-1,-4.010160828E-1,1.109582611E1,-1.444795532E0
4.785375417E-1,-4.599934387E-1,1.159099640E1,-9.346563721E-1
4.885615417E-1,1.324745178E-1,1.211999634E1,-4.331991577E-1
4.985845417E-1,1.276844788E-1,1.225277023E1,-5.057981873E-1
5.086085417E-1,-6.586303711E-3,1.232926117E1,-8.393046570E-1
5.186315417E-1,-4.046086121E-1,1.230396378E1,-8.175997925E-1
5.286545417E-1,-6.508465576E-1,1.233719467E1,-3.269201660E-1
5.386785417E-1,-7.140151978E-1,1.222986786E1,-1.466949463E-1
5.487015417E-1,-5.786965942E-1,1.192644882E1,-3.689826965E-1
5.587255417E-1,-4.441264343E-1,1.153665939E1,-4.736151123E-1
5.687485417E-1,-5.083428955E-1,1.122021744E1,-2.959346008E-1
5.787725417E-1,-5.191204834E-1,1.074121353E1,-1.019380188E-1
5.887955417E-1,-4.610412598E-1,1.029199768E1,-2.679428101E-2
5.988195417E-1,-4.942721558E-1,9.888137512E0,2.664459229E-2
6.088425417E-1,-9.683363342E-1,9.565258942E0,5.938151550E-1
6.188665417E-1,-2.033670959E0,9.577683105E0,2.217788086E0
6.288895417E-1,-3.422632599E0,9.650880890E0,3.333567810E0
6.389135417E-1,-4.374503174E0,1.001043320E1,1.722318420E0
6.489365417E-1,-4.302802277E0,1.054991135E1,-8.186476135E-1
6.589595417E-1,-3.672014008E0,1.089584198E1,-2.318678284E0
6.689835417E-1,-2.861000519E0,1.084824097E1,-2.604284363E0
6.790065417E-1,-1.860032043E0,1.066696793E1,-2.430795135E0
6.890305417E-1,-7.776329041E-1,1.054751633E1,-9.114546204E-1
6.990535417E-1,8.053253174E-1,1.073073532E1,1.179996185E0
7.090775417E-1,1.854942627E0,1.126242966E1,2.347418518E0
7.191005417E-1,2.497107239E0,1.196147598E1,2.127974854E0
7.291245417E-1,2.846630402E0,1.242117004E1,1.651216278E0
7.391475417E-1,1.682052155E0,1.248987717E1,1.729952545E0
7.491715417E-1,-4.469705200E-1,1.201566330E1,1.601519623E0
7.591945417E-1,-1.961520996E0,1.124102417E1,1.582209778E0
7.692185417E-1,-2.859803009E0,1.028092072E1,1.369352417E0
7.792415417E-1,-2.884052582E0,9.324709167E0,1.211879883E0
7.892655417E-1,-2.037263489E0,8.310268707E0,1.077459412E0
7.992885417E-1,-8.928932190E-1,7.343129883E0,1.207838287E0
8.093115417E-1,-7.723937988E-2,6.510411530E0,1.305435333E0
8.193355417E-1,2.707868958E-1,6.233936462E0,1.568737793E0
8.293585417E-1,5.610333252E-1,5.753285980E0,1.607806549E0
8.393825417E-1,6.899153137E-1,5.458249512E0,1.868414612E0
8.494055417E-1,7.497908020E-1,5.579796753E0,2.020198975E0
8.594295417E-1,9.285191345E-1,5.724096680E0,1.960173798E0
8.694525417E-1,7.515870667E-1,5.972729645E0,1.900298309E0
8.794765417E-1,4.194277954E-1,4.900808716E0,1.294807434E0
8.894995417E-1,-1.287322998E-2,4.227658539E0,9.134005737E-1
8.995235417E-1,-2.866539001E-1,3.854035492E0,3.823049927E-1
9.095465417E-1,-7.237449646E-1,3.246748352E0,4.504133606E-1
