"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-4.946250010E-4,2.242853120E-2,3.022410274E-1,-1.700470001E-1
9.528375002E-3,4.657091945E-2,3.147757053E-1,-1.605576128E-1
1.955237500E-2,4.964740202E-2,3.260230422E-1,-1.644498259E-1
2.957537500E-2,5.772786587E-2,3.497037888E-1,-1.787196398E-1
3.959937500E-2,6.572081149E-2,3.847632408E-1,-1.953225881E-1
4.962237500E-2,7.731451839E-2,4.032499492E-1,-2.121751755E-1
5.964637500E-2,7.933985442E-2,3.803970814E-1,-2.149057090E-1
6.966937500E-2,6.150766090E-2,3.490829468E-1,-2.227167040E-1
7.969337500E-2,3.980689123E-2,3.400447071E-1,-2.259591073E-1
8.971637500E-2,2.686989307E-2,3.243807852E-1,-2.140575945E-1
9.974037500E-2,1.779916696E-2,2.628758848E-1,-2.015633732E-1
1.097633750E-1,1.913029514E-2,1.872915030E-1,-1.788492054E-1
1.197873750E-1,2.779808454E-2,1.060184911E-1,-1.447018832E-1
1.298103750E-1,3.959157690E-2,4.717484489E-2,-1.315054148E-1
1.398333750E-1,5.515322834E-2,3.123955615E-2,-1.277112067E-1
1.498573750E-1,7.760663331E-2,5.025531724E-2,-1.378088444E-1
1.598803750E-1,1.058832780E-1,9.692348540E-2,-1.495885402E-1
1.699043750E-1,1.208437309E-1,1.675386280E-1,-1.539394557E-1
1.799273750E-1,1.138907522E-1,2.410474718E-1,-1.473633200E-1
1.899513750E-1,1.005378440E-1,2.783614099E-1,-1.188087165E-1
1.999743750E-1,7.930446416E-2,3.449843824E-1,-1.057331339E-1
2.099983750E-1,3.461385891E-2,3.609064519E-1,-9.761912376E-2
2.200213750E-1,-4.825279489E-2,2.705248892E-1,-6.354344636E-2
2.300453750E-1,-1.348796636E-1,1.151538864E-1,-2.434337698E-2
2.400683750E-1,-1.904710233E-1,6.136321463E-3,1.508712117E-2
2.500913750E-1,-2.372194082E-1,-4.591050372E-2,5.812612176E-2
2.601153750E-1,-3.317336440E-1,-9.980116785E-2,1.143553033E-1
2.701383750E-1,-5.084584951E-1,-1.410461813E-1,1.942396015E-1
2.801623750E-1,-7.740869522E-1,-1.130781844E-1,3.152938485E-1
2.901853750E-1,-1.099061847E0,-1.618994027E-2,4.605419040E-1
3.002093750E-1,-1.386996746E0,1.245602518E-1,6.076759100E-1
3.102323750E-1,-1.593395591E0,2.653233707E-1,7.543028593E-1
3.202563750E-1,-1.802186370E0,4.455730319E-1,8.713809848E-1
3.302793750E-1,-2.138371944E0,6.176597476E-1,9.160414934E-1
