"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.725915440198563E9,"2024-09-09 22:57:20.199 UTC+02:00"
"PAUSE",1.001016658334993E1,1.725915450208684E9,"2024-09-09 22:57:30.209 UTC+02:00"
