"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.725911758463109E9,"2024-09-09 21:55:58.463 UTC+02:00"
"PAUSE",1.501361862500198E1,1.725911773476650E9,"2024-09-09 21:56:13.477 UTC+02:00"
