"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.668333473E-4,9.097332001E0,-5.660628662E0,1.781535278E1
1.029083331E-2,1.012913635E1,-5.161416779E0,1.570683746E1
2.031483332E-2,9.786049805E0,-4.758754120E0,1.348500778E1
3.033783333E-2,8.339607697E0,-4.442910919E0,1.124476639E1
4.036183335E-2,7.134164429E0,-4.167633362E0,9.566905518E0
5.038583331E-2,6.523733826E0,-3.781885529E0,8.108039246E0
6.040983333E-2,5.835315399E0,-3.763623505E0,7.282356262E0
7.043383335E-2,4.965923309E0,-4.187092896E0,6.807094574E0
8.045783330E-2,4.315825195E0,-4.493805084E0,6.141877899E0
9.048183332E-2,3.716471558E0,-4.245920563E0,5.447771301E0
1.005058333E-1,3.347937927E0,-3.899989929E0,4.870870972E0
1.105288333E-1,2.989433441E0,-3.705394592E0,4.109254761E0
1.205528333E-1,2.629731445E0,-3.534899139E0,3.544479218E0
1.305768333E-1,1.970951385E0,-3.315455475E0,2.575394440E0
1.406008333E-1,1.817370758E0,-2.799179077E0,1.468895416E0
1.506248334E-1,1.692979431E0,-1.992506561E0,1.008153534E0
1.606488333E-1,1.807491302E0,-1.522184601E0,4.037104797E-1
1.706728333E-1,1.205293579E0,-2.330354004E0,1.772314453E-1
1.806968334E-1,6.758445740E-1,-2.597997437E0,-2.775228882E-1
1.907198333E-1,-4.490661621E-4,-2.751128998E0,-1.391656036E0
2.007438333E-1,-1.146316223E0,-3.386407928E0,-2.624492340E0
2.107678333E-1,-2.571203156E0,-3.280578003E0,-3.456312561E0
2.207918334E-1,-4.231400757E0,-2.566862183E0,-4.008963318E0
2.308158333E-1,-5.189109192E0,-2.405198364E0,-3.068319397E0
2.408398333E-1,-5.970783691E0,-2.363435211E0,-1.719324646E0
2.508638334E-1,-5.842949524E0,-2.644850006E0,-7.369175720E-1
2.608878333E-1,-5.640121307E0,-2.651735687E0,-5.885760498E-1
2.709108333E-1,-6.247558136E0,-2.861748962E0,-5.349874878E-1
2.809348333E-1,-6.797664185E0,-3.499422913E0,-9.321116638E-1
2.909588334E-1,-6.249354401E0,-4.050277405E0,-1.695973206E0
3.009828333E-1,-6.498586121E0,-4.736899567E0,-4.854255524E0
3.110068333E-1,-6.717131653E0,-4.751419373E0,-7.674989777E0
3.210308334E-1,-6.918013916E0,-4.877606964E0,-7.535629578E0
3.310548333E-1,-6.902595978E0,-4.864434357E0,-6.250102844E0
3.410788333E-1,-6.956932983E0,-4.974754944E0,-4.555327148E0
3.511010000E-1,-6.411616974E0,-4.900209961E0,-2.785258026E0
3.611250000E-1,-5.055287476E0,-3.850892029E0,-1.861229553E0
3.711490000E-1,-1.901944885E0,-3.610641632E0,-2.132615204E0
3.811730000E-1,-2.107617188E-1,-4.489164734E0,-2.830763397E0
3.911970000E-1,-1.428180084E0,-4.548890533E0,-3.602558441E0
