"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.308541676E-3,4.120132446E0,-2.910272360E0,-1.088834405E0
1.233154169E-2,4.101290226E0,-3.289578915E0,-7.374972105E-1
2.235554165E-2,4.252737999E0,-3.756061554E0,-2.966268659E-1
3.237954166E-2,4.563409328E0,-4.214752197E0,2.726580799E-1
4.240254167E-2,4.982931614E0,-4.582514763E0,8.116611242E-1
5.242654169E-2,5.503309727E0,-4.758796215E0,1.268916249E0
6.245054165E-2,6.052501202E0,-4.884846687E0,1.762719631E0
7.247354166E-2,6.575029850E0,-5.045236588E0,2.337918758E0
8.249754168E-2,7.005091190E0,-5.301539898E0,3.022842646E0
9.252054169E-2,7.024998665E0,-5.569441795E0,3.595669031E0
1.025445416E-1,6.673219204E0,-5.650282383E0,3.983291149E0
1.125685417E-1,6.181824684E0,-5.375368118E0,4.131886482E0
1.225915417E-1,5.591888428E0,-4.791683674E0,4.052674294E0
1.326155417E-1,4.994601250E0,-4.046038151E0,3.920812845E0
1.426395416E-1,4.429214954E0,-3.264562368E0,3.898023129E0
1.526625417E-1,3.921063900E0,-2.544769526E0,3.966947556E0
1.626865417E-1,3.532542706E0,-1.864626408E0,4.143268585E0
1.727105416E-1,3.313258648E0,-1.235732794E0,4.411410332E0
1.827335416E-1,3.234476566E0,-7.264559269E-1,4.719835758E0
1.927575417E-1,3.292477846E0,-3.541074693E-1,4.963036060E0
2.027815417E-1,3.415667772E0,2.868996933E-2,5.106459618E0
2.128045416E-1,3.475447655E0,3.986229897E-1,5.149503231E0
2.228285416E-1,3.397220135E0,7.007245421E-1,5.101097584E0
2.328515417E-1,3.256057501E0,8.438360095E-1,5.038897991E0
2.428755417E-1,3.174267530E0,9.027826786E-1,5.121369839E0
2.528995416E-1,3.193169832E0,9.918528795E-1,5.333123684E0
2.629225416E-1,3.339727402E0,1.147101521E0,5.588085651E0
2.729465417E-1,3.570484877E0,1.423401237E0,5.800591946E0
2.829705417E-1,3.795380592E0,1.953329206E0,5.975630760E0
2.929935416E-1,3.899356365E0,2.516585112E0,6.160281658E0
3.030175416E-1,3.796307564E0,2.976870298E0,6.344353676E0
3.130415417E-1,3.533140182E0,3.298976183E0,6.505160332E0
3.230645417E-1,3.165551424E0,3.266517878E0,6.642130852E0
3.330885416E-1,2.770525932E0,3.049566269E0,6.732333183E0
3.431115416E-1,2.538909912E0,2.988772631E0,6.814439297E0
3.531355000E-1,2.465913534E0,3.138558626E0,6.958218575E0
3.631595000E-1,2.475603580E0,3.475595951E0,7.163666248E0
3.731825000E-1,2.588751554E0,3.930914640E0,7.284982681E0
3.832065000E-1,2.819965363E0,4.322264671E0,7.205646992E0
3.932305000E-1,3.080992460E0,4.577800751E0,6.903580666E0
4.032535000E-1,3.176521540E0,4.541333199E0,6.662445545E0
4.132775000E-1,3.170955420E0,4.291883945E0,6.575071335E0
4.233015000E-1,3.177091360E0,3.979102373E0,6.613421440E0
4.333245000E-1,3.350468874E0,3.788884163E0,6.648009777E0
4.433485000E-1,3.696486473E0,3.811695814E0,6.549448013E0
4.533715000E-1,4.025377274E0,3.879374266E0,6.333603859E0
4.633955000E-1,4.139020920E0,3.790584564E0,6.105827808E0
