"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.725915579116907E9,"2024-09-09 22:59:39.117 UTC+02:00"
"PAUSE",1.000676516664680E1,1.725915589123626E9,"2024-09-09 22:59:49.124 UTC+02:00"
