"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.725915299857367E9,"2024-09-09 22:54:59.857 UTC+02:00"
"PAUSE",1.001140212500468E1,1.725915309868723E9,"2024-09-09 22:55:09.869 UTC+02:00"
