"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.927274167E-1,2.156220913E0,5.714085102E0,9.050658345E-1
8.027514166E-1,2.657418489E0,5.002224445E0,1.178333879E0
8.127754166E-1,3.406671762E0,4.129616261E0,1.394966602E0
8.227984167E-1,4.111216545E0,3.061872959E0,1.525931954E0
8.328224166E-1,4.826549053E0,2.368464470E0,1.411250591E0
8.428464166E-1,5.188214302E0,2.272452354E0,1.173004270E0
8.528694166E-1,4.980138779E0,2.741533279E0,1.010803461E0
8.628934167E-1,4.224572182E0,3.290901184E0,1.004897594E0
8.729174166E-1,3.226975203E0,3.521491528E0,1.160940289E0
8.829414166E-1,2.390272379E0,3.608570337E0,1.355353594E0
8.929644166E-1,1.695467949E0,3.221552372E0,1.654190898E0
9.029884167E-1,1.355625153E0,2.717777252E0,2.056462765E0
9.130124166E-1,1.250081897E0,2.269762754E0,2.361655474E0
9.230354166E-1,1.201516271E0,2.002802610E0,2.553903818E0
9.330594167E-1,1.099610329E0,1.741992950E0,2.789268017E0
9.430834167E-1,9.426352382E-1,1.524454236E0,3.102828741E0
9.531074166E-1,7.084184289E-1,1.527679324E0,3.333589077E0
9.631304166E-1,3.273297250E-1,1.841293454E0,3.417634726E0
9.731544167E-1,-1.079860553E-1,2.143258333E0,3.509537697E0
9.831784166E-1,-4.291072786E-1,2.293671608E0,3.674640179E0
9.932014166E-1,-5.415917635E-1,2.488610029E0,3.790057182E0
1.003225417E0,-5.046263933E-1,2.460996389E0,3.850173950E0
1.013249417E0,-2.982521653E-1,1.861097574E0,3.828963518E0
1.023272417E0,1.139321029E-1,1.008127689E0,3.826635599E0
1.033296417E0,5.967746377E-1,5.686957240E-1,3.864868641E0
1.043320417E0,8.848617077E-1,7.270545363E-1,3.821938992E0
1.053344417E0,8.631747961E-1,1.071813822E0,3.824559927E0
1.063367417E0,5.800456405E-1,1.510267735E0,3.876388788E0
1.073391417E0,1.634060740E-1,1.938186288E0,3.969781160E0
1.083415417E0,-4.019185603E-1,2.165512323E0,4.065108299E0
1.093438417E0,-9.422587752E-1,2.252879143E0,4.089982510E0
1.103462417E0,-1.358210444E0,2.228256702E0,4.183132648E0
1.113486417E0,-1.571098685E0,2.117678881E0,4.311748505E0
1.123510417E0,-1.549392104E0,1.964773536E0,4.402103424E0
1.133533417E0,-1.452271700E0,1.817486405E0,4.449742317E0
1.143557417E0,-1.497205853E0,1.892053604E0,4.448883533E0
1.153581417E0,-1.740320683E0,2.067181826E0,4.543688297E0
1.163604417E0,-2.199726820E0,2.349419117E0,4.701206207E0
1.173628417E0,-2.733345747E0,2.565191507E0,4.734560490E0
1.183652417E0,-3.265561581E0,2.825459957E0,4.741833210E0
1.193676417E0,-3.580698967E0,2.990467072E0,4.880882740E0
1.203699417E0,-3.550272942E0,2.822460413E0,5.125357151E0
1.213723417E0,-3.191938400E0,2.517677307E0,5.135533333E0
1.223747417E0,-2.655683756E0,2.073403358E0,4.973608971E0
1.233770417E0,-2.270622253E0,1.670308471E0,5.007897377E0
1.243794417E0,-2.127008915E0,1.270949602E0,5.202982903E0
1.253818417E0,-2.103720903E0,9.506847262E-1,5.422004700E0
