"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.725915246020482E9,"2024-09-09 22:54:06.020 UTC+02:00"
"PAUSE",1.000932695833035E1,1.725915256029765E9,"2024-09-09 22:54:16.030 UTC+02:00"
