"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.725915519367637E9,"2024-09-09 22:58:39.368 UTC+02:00"
"PAUSE",1.000729045830667E1,1.725915529374881E9,"2024-09-09 22:58:49.375 UTC+02:00"
