"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.725915637175836E9,"2024-09-09 23:00:37.176 UTC+02:00"
"PAUSE",1.001161874999525E1,1.725915647187408E9,"2024-09-09 23:00:47.187 UTC+02:00"
